measurement_id,geometry_id,x,y,z,var_r,var_z
0,1224979236083767296,-3.65444183,31.7463112,22.9339504,2.61520405e-08,0.000224999996
1,1224979373522796288,-8.38744545,68.4857178,116.244591,3.36154044e-05,0.000224999996
2,1224979510961657600,-14.9085703,113.073235,229.741867,1.0794718e-05,0.000224999996
3,1224979648400640256,-24.1210918,168.060165,370.230957,8.66466962e-06,0.000224999996
4,1729382394349242112,-41.7320518,256.791473,598.182617,0.000174078057,1.44000006
5,1729382531788223232,-64.5869293,352.13092,846.329712,8.43566595e-05,1.44000006
6,1801439988387163648,-116.559929,524.514587,1302.5,5.73259878,5.27935488e-33
7,1801440125826128128,-150.077438,617.873169,1547.5,5.75889206,5.13213707e-33
8,2161728233454701824,-216.71196,790.762085,1895.5,4.24734162e-06,1.50307381e-36
9,2161728233454702080,-214.504227,791.498718,1890.5,1.08284321e-05,1.11443971e-36
10,2161728370893679872,-289.301331,946.692566,2275.5,4.52907079e-06,1.50307381e-36
11,2161728370893680128,-286.481934,948.805908,2270.5,5.48116186e-05,1.11443971e-36
12,2161728508332633344,-320.222809,937.740662,2625.5,4.6295514e-05,1.50307381e-36
13,2161728508332633600,-322.729126,939.866455,2620.5,0.000163683144,1.11443971e-36
