particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
4503599644147712,1224979236083778304,-31.0933552,7.46705961,80.067009,7.29485273,-8.5447073,2.04246926,35.8643532,36.924881,0,0,0,0,0
4503599644147712,1224979236083781888,-33.146492,7.95767164,88.6844177,7.32444715,-8.54500103,2.04123831,35.8643532,36.924881,0,0,0,0,1
4503599644147712,1224979373522707712,-66.6761322,15.9255953,229.372787,7.80761003,-8.54977894,2.02113438,35.8643532,36.924881,0,0,0,0,2
4503599644147712,1224979510961697536,-110.990921,26.3287849,415.19519,8.44577599,-8.55601597,1.99456406,35.8643532,36.924881,0,0,0,0,3
4503599644147712,1297036830121665024,-160.490555,37.7776108,622.599976,9.15806103,-8.56288052,1.96488476,35.8643532,36.924881,0,0,0,0,4
4503599644147712,1729382394349280768,-257.602844,59.7144966,1029.02673,10.5538435,-8.57603359,1.9066577,35.8643532,36.924881,0,0,0,0,6
4503599644147712,1729382394349286144,-251.211761,58.2921028,1002.29828,10.4620504,-8.57518101,1.91048968,35.8643532,36.924881,0,0,0,0,5
4503599644147712,1801439988387154944,-320.636322,73.5827332,1292.5,11.458684,-8.58434868,1.86886382,35.8643532,36.924881,0,0,0,0,7
4503599644147712,1801439988387155456,-321.83313,73.8432312,1297.5,11.4758549,-8.58450508,1.86814618,35.8643532,36.924881,0,0,0,0,8
4503599644147712,1801440125826108416,-380.50238,86.4849548,1542.5,12.3172531,-8.59208488,1.83296895,35.8643532,36.924881,0,0,0,0,9
4503599644147712,1801440125826108928,-381.700256,86.7404404,1547.5,12.334425,-8.59223843,1.83225071,35.8643532,36.924881,0,0,0,0,10
4503599644147712,1801440125826119168,-382.898132,86.9958344,1552.5,12.3515959,-8.59239101,1.83153248,35.8643532,36.924881,0,0,0,0,11
4503599644147712,1801440263265072640,-454.810333,102.136032,1852.5,13.3818789,-8.60146904,1.78841507,35.8643532,36.924881,0,0,0,0,12
4503599644147712,1801440400704037376,-537.60199,119.101112,2197.5,14.5667048,-8.61164093,1.73877442,35.8643532,36.924881,0,0,0,0,13
4503599644147712,1801440538142990848,-621.692139,135.823837,2547.5,15.7687016,-8.62166786,1.68835521,35.8643532,36.924881,0,0,0,0,14
4503599644147712,2161728645771566848,-729.467773,156.510437,2995.5,17.3072586,-8.63407135,1.62373459,35.8643532,36.924881,0,0,0,0,16
4503599644147712,2161728645771567104,-728.264038,156.284012,2990.5,17.2900867,-8.63393497,1.62445629,35.8643532,36.924881,0,0,0,0,15
