measurement_id,geometry_id,x,y,z,var_r,var_z
0,1224979236083763200,7.2104187,31.1651306,-105.36422,1.8486935e-06,0.000224999996
1,1224979236083766784,7.65883112,33.1104584,-107.699562,0.000104268474,0.000224999996
2,1224979373522788096,15.5407047,66.7055588,-148.077118,2.07802823e-05,0.000224999996
3,1224979510961648384,26.1718998,111.010094,-201.381836,1.08211143e-05,0.000224999996
4,1224979648400619520,39.2872086,164.784698,-266.121918,4.67154496e-06,0.000224999996
5,1224979648400623104,39.6810112,166.287628,-267.94693,2.08673246e-05,0.000224999996
6,1729382394349432832,62.3757172,256.270538,-375.75296,0.00036944708,1.44000006
7,1729382394349438464,60.8729591,250.393341,-369.838043,3.47474088e-05,1.44000006
8,1729382531788203264,86.5442886,348.444824,-490.088074,0.000126107785,1.44000006
9,1729382669227177984,124.433563,487.023834,-656.575623,0.000241743051,1.44000006
10,1729382806666173696,168.912659,640.133423,-839.999878,0.000209746184,1.44000006
11,2017613457695728896,270.334625,952.183472,-1304.5,5.53905465e-07,1.50307381e-36
12,2017613457695729152,273.598297,951.983337,-1309.5,3.00172542e-05,1.11443971e-36
13,2089670364538906880,214.674667,795.549133,-1078.33337,0.000821912079,8.2899769e-06
14,2089670364538907136,218.38887,801.081726,-1080,0.000802441442,3.4998321e-35
15,2089670364538918144,214.190689,782.123047,-973.418213,0.000175247769,8.2899769e-06
16,2089670364538918400,214.554947,789.047424,-971.5,0.000182460906,3.22368822e-35
