measurement_id,geometry_id,x,y,z,var_r,var_z
14,1152922191801617664,76.7549744,51.7040825,-975.599976,0.000899999985,8.43614858e-37
15,1152922191801621248,-14.0237455,130.518738,-983.200012,0.000899999985,8.43614858e-37
16,1152922191801624064,-109.553932,-37.1153793,-983.200012,0.000899999985,8.43614858e-37
17,1152922191801624832,-70.2287674,-86.9076614,-984.400024,0.000899999985,8.43614858e-37
18,1152922191801625088,-67.6059723,-126.847221,-983.200012,0.000899999985,8.43614858e-37
19,1152922191801625600,-23.6083393,-110.962799,-983.200012,0.000899999985,8.43614858e-37
20,1152922191801625600,-27.2646637,-166.779236,-983.200012,0.000899999985,8.43614858e-37
21,1152922191801627648,101.077583,-57.5419502,-984.400024,0.000899999985,8.43614858e-37
22,1152922329240569344,-93.943985,-32.0352707,-836.799988,0.000899999985,8.43614858e-37
23,1152922329240569856,-58.9126396,-72.64534,-836.799988,0.000899999985,8.43614858e-37
24,1152922329240570368,-19.9833412,-93.5812607,-836.799988,0.000899999985,8.43614858e-37
25,1152922329240571136,65.033699,43.8412094,-835.599976,0.000899999985,8.43614858e-37
26,1152922329240571904,84.1718826,-47.6397133,-835.599976,0.000899999985,8.43614858e-37
27,1152922329240574720,-11.8147802,111.594139,-843.200012,0.000899999985,8.43614858e-37
28,1152922329240576000,-127.111618,84.0223999,-844.400024,0.000899999985,8.43614858e-37
29,1152922329240576768,-163.414978,-11.5483027,-843.200012,0.000899999985,8.43614858e-37
30,1152922329240577536,-148.035812,-65.6869583,-843.200012,0.000899999985,8.43614858e-37
31,1152922329240578560,-56.707119,-106.215691,-843.200012,0.000899999985,8.43614858e-37
32,1152922329240579072,-23.1753311,-140.70076,-843.200012,0.000899999985,8.43614858e-37
33,1152922329240579328,-10.681694,-152.061447,-844.400024,0.000899999985,8.43614858e-37
34,1152922466679522816,-81.1906662,-27.8017693,-716.799988,0.000899999985,8.43614858e-37
35,1152922466679523328,-49.701767,-61.0754013,-716.799988,0.000899999985,8.43614858e-37
36,1152922466679523584,-46.7400551,-87.392189,-715.599976,0.000899999985,8.43614858e-37
37,1152922466679523840,-17.0052166,-79.3345108,-716.799988,0.000899999985,8.43614858e-37
38,1152922466679524608,54.9028473,37.0480843,-715.599976,0.000899999985,8.43614858e-37
39,1152922466679525376,70.5125122,-39.7170334,-715.599976,0.000899999985,8.43614858e-37
40,1152922466679526656,-9.8675108,94.3840332,-715.599976,0.000899999985,8.43614858e-37
41,1152922466679529472,-108.800392,71.676857,-724.400024,0.000899999985,8.43614858e-37
42,1152922466679530240,-136.515656,-9.45683289,-723.200012,0.000899999985,8.43614858e-37
43,1152922466679530240,-158.917847,-6.46416759,-723.200012,0.000899999985,8.43614858e-37
44,1152922466679531008,-126.116997,-55.7244911,-723.200012,0.000899999985,8.43614858e-37
45,1152922466679532544,-19.6017056,-118.416176,-723.200012,0.000899999985,8.43614858e-37
46,1152922466679532800,-9.34049225,-130.781036,-724.400024,0.000899999985,8.43614858e-37
47,1152922466679533568,142.158554,97.6625366,-724.400024,0.000899999985,8.43614858e-37
48,1152922466679533568,129.187881,79.1152267,-724.400024,0.000899999985,8.43614858e-37
49,1152922466679534848,147.379105,-59.1035194,-723.200012,0.000899999985,8.43614858e-37
50,1152922604118476288,-70.5336456,-24.2778969,-616.799988,0.000899999985,8.43614858e-37
51,1152922604118476800,-41.9676247,-51.4604797,-616.799988,0.000899999985,8.43614858e-37
52,1152922604118477056,-38.9142609,-72.6846237,-615.599976,0.000899999985,8.43614858e-37
53,1152922604118477312,-14.4850645,-67.5105209,-616.799988,0.000899999985,8.43614858e-37
