measurement_id,geometry_id,x,y,z,var_r,var_z
11,1152922191801616384,-66.7310486,-74.5045013,-976.799988,0.000899999985,8.43614858e-37
12,1152922191801616640,-61.4259949,-88.5785446,-975.599976,0.000899999985,8.43614858e-37
13,1152922191801621248,-33.7589531,134.143936,-983.200012,0.000899999985,8.43614858e-37
14,1152922191801621760,-55.8669357,114.697929,-983.200012,0.000899999985,8.43614858e-37
15,1152922191801623296,-123.166382,-6.29912996,-983.200012,0.000899999985,8.43614858e-37
16,1152922191801624320,-149.752991,-73.2748642,-984.400024,0.000899999985,8.43614858e-37
17,1152922191801624832,-62.0589638,-89.4561386,-984.400024,0.000899999985,8.43614858e-37
18,1152922191801625088,-61.9790573,-89.3287277,-983.200012,0.000899999985,8.43614858e-37
19,1152922191801627392,122.138748,-97.7786484,-983.200012,0.000899999985,8.43614858e-37
20,1152922329240569088,-104.106636,-5.63854456,-835.599976,0.000899999985,8.43614858e-37
21,1152922329240569856,-57.4949684,-63.8557129,-836.799988,0.000899999985,8.43614858e-37
22,1152922329240570112,-51.1305695,-74.137085,-835.599976,0.000899999985,8.43614858e-37
23,1152922329240573696,-47.0695763,96.3571243,-835.599976,0.000899999985,8.43614858e-37
24,1152922329240574720,-29.0459156,115.64743,-843.200012,0.000899999985,8.43614858e-37
25,1152922329240575232,-47.5270042,97.2887497,-843.200012,0.000899999985,8.43614858e-37
26,1152922329240576768,-105.143471,-5.67283773,-843.200012,0.000899999985,8.43614858e-37
27,1152922329240577792,-129.512924,-63.6414986,-844.400024,0.000899999985,8.43614858e-37
28,1152922329240578816,-39.2720146,-147.109329,-844.400024,0.000899999985,8.43614858e-37
29,1152922329240579072,-39.2006569,-146.85553,-843.200012,0.000899999985,8.43614858e-37
30,1152922329240580864,105.124985,-84.3496704,-843.200012,0.000899999985,8.43614858e-37
31,1152922329240581632,156.799835,-22.5089359,-844.400024,0.000899999985,8.43614858e-37
32,1152922466679522560,-88.7149353,-5.0535264,-715.599976,0.000899999985,8.43614858e-37
33,1152922466679523328,-49.4773254,-54.7511635,-716.799988,0.000899999985,8.43614858e-37
34,1152922466679523584,-42.3458977,-61.6719246,-715.599976,0.000899999985,8.43614858e-37
35,1152922466679526912,-24.7728024,99.0015945,-716.799988,0.000899999985,8.43614858e-37
36,1152922466679527168,-39.8349648,81.4105988,-715.599976,0.000899999985,8.43614858e-37
37,1152922466679528960,-100.525276,127.672188,-724.400024,0.000899999985,8.43614858e-37
38,1152922466679531264,-112.193672,-55.3344498,-724.400024,0.000899999985,8.43614858e-37
39,1152922466679532288,-32.8574104,-122.522301,-724.400024,0.000899999985,8.43614858e-37
