particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,96.1588593,959.413818,4002,13.9132433,1.26156628,9.68809032,41.1458321,0.105658367,1
4503599660924928,-13,0,-566.922546,-1059.90698,2330.93726,8.91485977,-3.64479089,-6.05036592,14.0395975,0.105658367,1
9007199271518208,13,0,-225.445938,-1180.66846,104.329353,8.78978252,0.113703199,-1.32586098,0.0838340148,0.105658367,-1
9007199288295424,13,0,-1195.45728,125.243347,413.020874,8.92180729,-6.43363237,0.311744243,2.06405044,0.105658367,-1
13510798898888704,-13,0,-1197.95789,98.4924698,3963.85352,6.59954739,-6.40594769,0.888243318,21.54809,0.105658367,1
13510798915665920,13,0,789.198059,-906.625854,1336.51306,-1.25020278,4.48291731,-4.60118484,7.36985207,0.105658367,-1
18014398526259200,-13,0,-437.564087,229.450668,-4002,5.46698284,-4.54243517,2.54924655,-41.938755,0.105658367,1
18014398543036416,13,0,-105.958969,765.225952,-4002,5.61291456,-1.52628696,9.33307648,-48.7000732,0.105658367,-1
22517998153629696,-13,0,-246.861115,1176.37732,1089.26562,4.7400322,0.0846111029,1.35138881,1.22220492,0.105658367,1
22517998170406912,13,0,93.9245682,1198.32471,-919.716797,4.29566431,0.236373186,7.6275382,-5.78011751,0.105658367,-1
27021597781000192,-13,0,-230.726456,-1179.64795,-3446.38867,18.6923122,-1.52599454,-5.92479277,-17.4207382,0.105658367,1
27021597797777408,13,0,1189.69141,171.575699,2153.21362,14.8787785,3.39247918,0.853328049,6.31878567,0.105658367,-1
31525197408370688,13,0,1047.72766,-589.127075,2581.71948,10.6695585,1.67456675,-0.528160453,3.71385479,0.105658367,-1
31525197425147904,13,0,-466.223907,-75.2467117,4002,14.5906553,-4.71096849,-0.903728902,40.4302025,0.105658367,-1
36028797035741184,-13,0,-1041.87732,-200.128006,-4002,11.0786009,-9.57940102,-1.51610649,-35.9729805,0.105658367,1
36028797052518400,13,0,-735.782227,950.488586,1215.18921,3.34873772,-2.38883638,2.49732494,3.67776537,0.105658367,-1
40532396663111680,13,0,120.666451,781.498901,4002,18.1738434,0.986586392,7.94344282,39.7014885,0.105658367,-1
40532396679888896,13,0,-1201.53638,-33.3834038,-976.619934,10.181839,-2.04678392,-0.417360634,-1.82591736,0.105658367,-1
45035996290482176,-13,0,666.653564,-1000.18848,-1126.0199,11.1236181,0.426663667,-1.28985906,-1.27546668,0.105658367,1
45035996307259392,-13,0,486.132996,-86.7320251,-4002,19.052412,8.9330492,-1.74406815,-74.0584717,0.105658367,1
49539595917852672,-13,0,180.226868,1188.41162,-1557.36963,9.71083069,1.5510751,7.82481956,-9.53928375,0.105658367,1
49539595934629888,-13,0,-373.334778,1142.552,341.187836,7.75386953,-2.06877828,7.49129057,2.97748351,0.105658367,1
54043195545223168,-13,0,663.669861,1002.17078,1081.79639,6.05138779,2.25743723,2.7562077,3.37480497,0.105658367,1
54043195562000384,13,0,-720.350342,196.090897,4002,14.2904215,-5.12010908,1.16185391,28.5489883,0.105658367,-1
58546795172593664,-13,0,-304.047546,297.553192,4002,14.0054522,-1.70978558,1.85174203,23.8099766,0.105658367,1
