particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,-13,0,1169.42029,277.957275,-916.986084,10.8568506,6.60849905,1.20033848,-4.94159126,0.105658367,1
4503599660924928,-13,0,459.648376,1088.83911,-4002,19.7021675,1.00387919,1.46698356,-5.93070221,0.105658367,1
9007199271518208,-13,0,1201.22937,-43.033226,1.71434712,0.956212461,4.95238447,-0.537992418,0.121321052,0.105658367,1
9007199288295424,13,0,48.7193489,-449.770386,4002,10.4669294,0.559315681,-3.90328646,35.1152077,0.105658367,-1
13510798898888704,-13,0,-938.04248,-751.585205,1368.05054,-4.88431406,-3.10380173,-2.02512765,4.3637085,0.105658367,1
13510798915665920,-13,0,-1190.7832,-163.826843,-1381.60083,-5.10309744,-9.43609047,-0.934439898,-10.5063829,0.105658367,1
18014398526259200,-13,0,576.47467,474.229034,4002,22.9030628,3.66572022,2.72578669,24.644577,0.105658367,1
18014398543036416,13,0,1107.151,467.996552,3736.77344,22.4300137,1.1667794,0.884434462,4.53714657,0.105658367,-1
22517998153629696,13,0,-497.075439,1094.40393,1268.30945,4.03585196,-2.7194891,5.11601591,6.63956738,0.105658367,-1
22517998170406912,-13,0,-800.081177,-312.971039,-4002,11.2288122,-3.83522439,-1.22368097,-18.2247391,0.105658367,1
27021597781000192,13,0,1034.45837,-612.127441,-2746.99976,10.8031721,8.41585064,-4.56116152,-22.043972,0.105658367,-1
27021597797777408,13,0,-390.159149,1136.91675,1010.95728,5.92834091,-3.54901576,9.23155308,8.13810062,0.105658367,-1
31525197408370688,13,0,656.568726,-765.302734,-4002,9.22555828,6.36096764,-6.95008898,-36.5549469,0.105658367,-1
31525197425147904,13,0,340.765961,-255.432449,-4002,8.87610531,3.34943414,-2.35106516,-37.5941238,0.105658367,-1
36028797035741184,13,0,392.365326,-623.590637,4002,21.9813061,4.55210781,-6.82027149,44.2372589,0.105658367,-1
36028797052518400,13,0,1095.09497,495.551147,-1868.75806,15.9862299,3.51228261,1.98491251,-6.35385799,0.105658367,-1
40532396663111680,13,0,462.036896,-1109.65125,1631.10559,9.50402832,2.62562585,-5.36835384,8.19951534,0.105658367,-1
40532396679888896,13,0,441.460876,1117.99658,-2175.40063,10.9282455,2.00817204,6.06687403,-11.4580889,0.105658367,-1
45035996290482176,-13,0,-1113.328,453.10556,3465.96826,12.2507772,-5.18597794,2.49961185,16.8043766,0.105658367,1
45035996307259392,13,0,-298.950073,407.356781,4002,13.4752579,-3.64235568,4.70705652,47.664402,0.105658367,-1
49539595917852672,-13,0,-951.253296,-734.793335,1099.93188,11.5361643,-1.42946386,-0.648848951,1.40244651,0.105658367,1
49539595934629888,13,0,890.41864,807.439575,-797.822876,10.9484777,6.80929327,6.66120148,-6.45135069,0.105658367,-1
54043195545223168,13,0,-1180.49219,-226.367645,-2571.56299,15.2811842,-9.4958601,-2.18765974,-21.1605473,0.105658367,-1
54043195562000384,-13,0,-41.3003883,-622.459045,4002,19.0752983,-0.470715046,-4.27133083,27.2901821,0.105658367,1
58546795172593664,-13,0,774.974976,-13.463192,4002,14.7796192,1.55275905,-0.259417355,8.20676613,0.105658367,1
58546795189370880,-13,0,-1011.22186,-649.795654,3945.88281,14.9361219,-3.52489614,-1.8368547,13.2077093,0.105658367,1
63050394799964160,-13,0,-73.671814,-1199.74011,3049.35352,11.4289446,-0.900409639,-8.78605652,22.5339012,0.105658367,1
63050394816741376,-13,0,-482.477081,-488.660675,-4002,13.9231014,-3.99386311,-3.75217628,-31.7835178,0.105658367,1
67553994427334656,-13,0,153.372772,1192.1748,3130.75708,13.3256969,0.605437934,1.88194406,5.11416435,0.105658367,1
67553994444111872,13,0,-957.354736,332.860352,-4002,15.9264011,-2.67837024,0.609530687,-10.8338747,0.105658367,-1
72057594054705152,-13,0,-1174.59131,-255.223969,3895.59302,12.5165625,-7.79493475,-1.32486737,26.0494347,0.105658367,1
72057594071482368,-13,0,-575.104797,-226.06041,-4002,11.9973059,-3.64458275,-1.23342025,-24.4981613,0.105658367,1
76561193682075648,13,0,453.539734,-774.283752,4002,13.7893801,1.16814208,-1.461941,8.51725006,0.105658367,-1
76561193698852864,-13,0,615.672913,1032.35205,-3595.07446,12.1323624,3.92608666,5.87968636,-20.5697193,0.105658367,1
81064793309446144,13,0,-870.208313,18.3721237,-4002,9.57547665,-3.98418713,-0.176922917,-18.4369164,0.105658367,-1
81064793326223360,13,0,994.363708,-675.310852,-1414.64819,2.08963966,5.92237568,-3.58652782,-8.28683949,0.105658367,-1
85568392936816640,-13,0,-780.905396,913.77832,2328.25464,8.3279171,-2.39120674,3.35271502,8.13556576,0.105658367,1
85568392953593856,-13,0,715.546326,364.531006,-4002,12.8937674,1.78387511,0.638650119,-9.30070686,0.105658367,1
90071992564187136,13,0,580.397278,42.9711075,-4002,1.07394695,8.53366947,0.806806922,-57.5657234,0.105658367,-1
