particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
148618787720003584,1152921779484762368,-147.102325,64.5543289,-1523.19995,0.907339573,-2.12564969,0.879995584,-22.9179649,23.03339,0,0,0,0,8
40532396663111680,1152921779484763648,-144.781204,-56.2434921,-1523.19995,14.4931707,-7.89456272,-3.0162797,-80.8764572,81.3168716,0,0,0,0,9
126100789583151104,1152921779484764416,-94.8636322,-124.979828,-1524.40002,-3.0778532,-5.62278986,-7.48802567,-86.4641342,86.9697876,0,0,0,0,11
4503599660924928,1152921779484764672,-77.8906021,-136.082169,-1523.19995,-0.104905434,-3.68061638,-6.33423805,-71.7029724,72.0763245,0,0,0,0,7
189151184366338048,1152921779484766976,111.607513,-102.72213,-1523.19995,4.41851807,6.5431571,-6.08397388,-89.0467453,89.4939194,0,0,0,0,7
148618787720003584,1152921916923715840,-128.572418,56.8263092,-1323.19995,0.236851439,-2.12101603,0.891105831,-22.9179649,23.03339,0,0,0,0,7
13510798915665920,1152921916923717120,-149.794037,-50.5905075,-1323.19995,9.983284,-2.32563448,-0.835332215,-20.2294426,20.380085,0,0,0,0,6
40532396663111680,1152921916923717120,-125.264214,-48.7700424,-1323.19995,13.8224096,-7.89008188,-3.02798176,-80.8764572,81.3168716,0,0,0,0,8
126100789583151104,1152921916923717888,-81.8455658,-107.668312,-1324.40002,-3.74888301,-5.63316965,-7.48021984,-86.4641342,86.9697876,0,0,0,0,10
220676381757931520,1152921916923717888,-107.612068,-110.275093,-1324.40002,-1.78274846,-6.49542332,-6.58904648,-79.7663803,80.3012619,0,0,0,0,6
4503599660924928,1152921916923718144,-67.6390915,-118.405594,-1323.19995,-0.775507331,-3.67001772,-6.34038496,-71.7029724,72.0763245,0,0,0,0,6
54043195562000384,1152921916923718144,-88.187439,-140.978577,-1323.19995,8.61364746,-1.51532221,-2.32801032,-22.4892635,22.6604061,0,0,0,0,8
189151184366338048,1152921916923720448,96.9023132,-89.0673599,-1323.19995,3.74803948,6.55134392,-6.07515669,-89.0467453,89.4939194,0,0,0,0,6
162129586618892288,1152922054362668032,-51.9503174,147.268051,-1124.40002,7.33925247,-2.73348403,7.89520168,-60.1466637,60.7242813,0,0,0,0,6
112589990717816832,1152922054362668544,-105.677162,114.451973,-1124.40002,13.5094481,-0.872480512,0.876059115,-9.25050926,9.33336926,0,0,0,0,6
121597189955780608,1152922054362669312,-141.833008,44.3386536,-1123.19995,-1.05184305,-5.66220045,1.81757045,-43.54533,43.9496422,0,0,0,0,6
148618787720003584,1152922054362669312,-110.083214,49.0014381,-1123.19995,-0.433636695,-2.11632442,0.902191699,-22.9179649,23.03339,0,0,0,0,6
13510798915665920,1152922054362670592,-126.777122,-42.4001236,-1123.19995,9.31118774,-2.33054543,-0.821531594,-20.2294426,20.380085,0,0,0,0,5
40532396663111680,1152922054362670592,-105.758331,-41.267662,-1123.19995,13.1516485,-7.8855834,-3.03967714,-80.8764572,81.3168716,0,0,0,0,7
126100789583151104,1152922054362671360,-68.8034973,-90.3748779,-1124.40002,-4.41991234,-5.64353848,-7.47240019,-86.4641342,86.9697876,0,0,0,0,9
220676381757931520,1152922054362671360,-91.3383713,-93.7419968,-1124.40002,-2.45435023,-6.48551035,-6.598804,-79.7663803,80.3012619,0,0,0,0,5
4503599660924928,1152922054362671616,-57.41716,-100.711906,-1123.19995,-1.44610918,-3.65940881,-6.34651375,-71.7029724,72.0763245,0,0,0,0,5
54043195562000384,1152922054362671616,-74.7667389,-120.239449,-1123.19995,7.94144249,-1.50288725,-2.33605719,-22.4892635,22.6604061,0,0,0,0,7
189151184366338048,1152922054362673920,82.1787338,-75.4323959,-1123.19995,3.07756114,6.55951929,-6.066329,-89.0467453,89.4939194,0,0,0,0,5
148618787720003584,1152922191801615104,-96.4645691,43.1646919,-975.599976,-0.928456962,-2.11282468,0.910357237,-22.9179649,23.03339,0,0,0,0,4
40532396663111680,1152922191801615872,-91.4870834,-35.7575874,-976.799988,12.6606512,-7.88227987,-3.04823399,-80.8764572,81.3168716,0,0,0,0,6
126100789583151104,1152922191801616384,-59.1630783,-77.6239243,-976.799988,-4.91513252,-5.65118408,-7.46661997,-86.4641342,86.9697876,0,0,0,0,8
4503599660924928,1152922191801616640,-49.8923607,-87.643013,-975.599976,-1.94101346,-3.65157294,-6.35102558,-71.7029724,72.0763245,0,0,0,0,4
126100789583151104,1152922191801616640,-59.0846481,-77.5203018,-975.599976,-4.91915846,-5.65124607,-7.46657276,-86.4641342,86.9697876,0,0,0,0,7
189151184366338048,1152922191801618176,71.3894424,-65.4641876,-976.799988,2.58677101,6.56549644,-6.05985975,-89.0467453,89.4939194,0,0,0,0,4
