particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
211669182503190528,1152921779484763904,-140.972855,-88.3991776,-1524.40002,6.28924656,-3.66777372,-2.35928035,-39.8513031,40.0893517,0,0,0,0,9
171136785856856064,1152921779484764672,-73.8964615,-138.570465,-1523.19995,-4.29871893,-2.15760946,-3.94466424,-42.7155952,42.9517021,0,0,0,0,7
166633186229485568,1152921779484764928,-53.4124184,-143.790085,-1524.40002,-2.058393,-1.76985168,-4.89552784,-48.9860077,49.26194,0,0,0,0,9
27021597797777408,1152921916923714048,164.593933,34.5838509,-1324.40002,5.8959713,2.1241765,0.394735068,-17.3575172,17.491785,0,0,0,0,8
211669182503190528,1152921916923717376,-122.547775,-76.5864716,-1324.40002,5.61813307,-3.67485642,-2.34823275,-39.8513031,40.0893517,0,0,0,0,8
171136785856856064,1152921916923718144,-63.8201866,-120.086868,-1323.19995,-4.96953487,-2.14652705,-3.95070577,-42.7155952,42.9517021,0,0,0,0,6
175640385501003776,1152921916923718144,-75.3694916,-131.325836,-1323.19995,5.96869469,-3.36072111,-5.76430368,-60.0062752,60.3762016,0,0,0,0,6
166633186229485568,1152921916923718400,-46.162014,-123.811501,-1324.40002,-2.72927904,-1.78183055,-4.89118052,-48.9860077,49.26194,0,0,0,0,8
63050394799964160,1152921916923720704,142.645096,-84.7648468,-1324.40002,2.86051512,2.43258762,-1.38783884,-23.6592979,23.8247166,0,0,0,0,9
166633186229485568,1152922054362663424,-38.5843849,-103.09256,-1116.80005,-3.42565894,-1.79425335,-4.88663721,-48.9860077,49.26194,0,0,0,0,6
27021597797777408,1152922054362667520,140.134262,29.9510498,-1124.40002,5.2236824,2.12139869,0.409400702,-17.3575172,17.491785,0,0,0,0,7
211669182503190528,1152922054362670848,-104.087227,-64.8292618,-1124.40002,4.94702005,-3.68190598,-2.33716416,-39.8513031,40.0893517,0,0,0,0,7
171136785856856064,1152922054362671616,-53.795845,-101.575066,-1123.19995,-5.64035034,-2.13542771,-3.9567163,-42.7155952,42.9517021,0,0,0,0,5
175640385501003776,1152922054362671616,-64.1874619,-112.102318,-1123.19995,5.29745388,-3.349195,-5.77100849,-60.0062752,60.3762016,0,0,0,0,5
166633186229485568,1152922054362671872,-38.8627243,-103.850716,-1124.40002,-3.40016508,-1.7937988,-4.8868041,-48.9860077,49.26194,0,0,0,0,7
72057594071482368,1152922054362673664,99.8312378,-107.549355,-1124.40002,7.58302355,5.83496714,-6.35099268,-61.4152794,62.0179787,0,0,0,0,6
63050394799964160,1152922054362674176,122.111435,-72.9809189,-1124.40002,2.18872261,2.42552209,-1.40015042,-23.6592979,23.8247166,0,0,0,0,8
211669182503190528,1152922191801616128,-90.3296738,-56.1179657,-975.599976,4.44771147,-3.68712902,-2.32891536,-39.8513031,40.0893517,0,0,0,0,5
171136785856856064,1152922191801616640,-46.4312286,-87.8953476,-975.599976,-6.13541222,-2.12722564,-3.96113181,-42.7155952,42.9517021,0,0,0,0,4
166633186229485568,1152922191801616896,-33.444519,-89.1311569,-976.799988,-3.89527917,-1.80262434,-4.88355541,-48.9860077,49.26194,0,0,0,0,5
157625986991521792,1152922191801620736,159.781982,-9.38728905,-983.200012,8.4246912,4.4728837,-0.310465902,-24.7631054,25.1659622,0,0,0,0,5
27021597797777408,1152922191801620992,123.031807,26.6075993,-984.400024,4.75308037,2.11939406,0.419655085,-17.3575172,17.491785,0,0,0,0,6
211669182503190528,1152922191801624320,-91.143837,-56.6322937,-984.400024,4.47724056,-3.68682075,-2.3294034,-39.8513031,40.0893517,0,0,0,0,6
175640385501003776,1152922191801625088,-56.3829117,-98.632576,-983.200012,4.82758522,-3.34111881,-5.77568769,-60.0062752,60.3762016,0,0,0,0,4
72057594071482368,1152922191801627136,86.5201721,-93.0809631,-984.400024,7.11145067,5.84364223,-6.34301186,-61.4152794,62.0179787,0,0,0,0,5
63050394799964160,1152922191801627648,107.773529,-64.6703186,-984.400024,1.71846783,2.42053914,-1.40874732,-23.6592979,23.8247166,0,0,0,0,7
27021597797777408,1152922329240568320,105.018677,22.993124,-836.799988,4.2569313,2.11722684,0.430455476,-17.3575172,17.491785,0,0,0,0,4
211669182503190528,1152922329240569600,-77.3679657,-47.9499969,-835.599976,3.97793245,-3.69202638,-2.32114363,-39.8513031,40.0893517,0,0,0,0,4
171136785856856064,1152922329240570112,-39.4720268,-74.9059296,-835.599976,-6.60498333,-2.11943722,-3.96530461,-42.7155952,42.9517021,0,0,0,0,3
175640385501003776,1152922329240570112,-48.1750984,-84.4198151,-835.599976,4.33220911,-3.33259702,-5.78060913,-60.0062752,60.3762016,0,0,0,0,3
166633186229485568,1152922329240570368,-28.2807388,-75.1785736,-836.799988,-4.36489916,-1.8109901,-4.88045931,-48.9860077,49.26194,0,0,0,0,4
72057594071482368,1152922329240571648,72.4651108,-77.8468552,-836.799988,6.61427879,5.85277653,-6.33458471,-61.4152794,62.0179787,0,0,0,0,3
63050394799964160,1152922329240571904,92.5668182,-55.7816238,-835.599976,1.21865416,2.41520977,-1.41786492,-23.6592979,23.8247166,0,0,0,0,5
157625986991521792,1152922329240574208,134.491287,-7.67491102,-843.200012,7.95010471,4.47391081,-0.295302004,-24.7631054,25.1659622,0,0,0,0,4
27021597797777408,1152922329240574464,105.945724,23.1814785,-844.400024,4.28247833,2.11733985,0.429899633,-17.3575172,17.491785,0,0,0,0,5
117093590328410112,1152922329240575488,-103.440338,116.11116,-844.400024,14.4263239,-4.82770967,5.34923553,-33.2394791,34.011692,0,0,0,0,5
58546795172593664,1152922329240578048,-121.353493,-119.912491,-843.200012,1.86833739,-6.1986084,-6.1992116,-43.0661316,43.9494667,0,0,0,0,6
58546795172593664,1152922329240578304,-121.526215,-120.085228,-844.400024,1.87242222,-6.19850492,-6.19931507,-43.0661316,43.9494667,0,0,0,0,7
13510798915665920,1152922329240580608,92.3671799,-124.431046,-844.400024,1.2207154,5.3598237,-7.29820681,-46.1241646,47.0046921,0,0,0,0,6
72057594071482368,1152922329240580608,73.1893463,-78.6307755,-844.400024,6.63987827,5.85230637,-6.33501863,-61.4152794,62.0179787,0,0,0,0,4
63050394799964160,1152922329240581120,93.46521,-56.3088951,-844.400024,1.24821305,2.41552591,-1.41732633,-23.6592979,23.8247166,0,0,0,0,6
9007199288295424,1152922329240582912,13.5111322,147.350952,-843.200012,4.61068535,0.852920413,8.81067371,-45.5982437,46.4496117,0,0,0,0,7
9007199288295424,1152922329240583168,13.5335808,147.582825,-844.400024,4.61476278,0.853059411,8.81066036,-45.5982437,46.4496117,0,0,0,0,8
27021597797777408,1152922466679521792,90.3875809,19.9868717,-716.799988,3.8535583,2.11542439,0.439228058,-17.3575172,17.491785,0,0,0,0,3
211669182503190528,1152922466679523072,-66.2442551,-40.970623,-715.599976,3.57526445,-3.69621134,-2.31447411,-39.8513031,40.0893517,0,0,0,0,3
171136785856856064,1152922466679523584,-33.5273209,-63.7612724,-715.599976,-7.00747299,-2.11275506,-3.96886897,-42.7155952,42.9517021,0,0,0,0,2
175640385501003776,1152922466679523584,-41.5175323,-72.8558121,-715.599976,3.92946482,-3.32566357,-5.78460073,-60.0062752,60.3762016,0,0,0,0,2
166633186229485568,1152922466679523840,-23.8356152,-63.2262764,-716.799988,-4.76743078,-1.8181566,-4.87779427,-48.9860077,49.26194,0,0,0,0,3
72057594071482368,1152922466679525120,61.0220566,-65.4763412,-716.799988,6.21007347,5.86019373,-6.3277235,-61.4152794,62.0179787,0,0,0,0,2
63050394799964160,1152922466679525376,80.3278275,-48.5715942,-715.599976,0.81557858,2.41088676,-1.42520332,-23.6592979,23.8247166,0,0,0,0,4
157625986991521792,1152922466679527680,112.809029,-6.27540016,-723.200012,7.54331589,4.47474957,-0.282301635,-24.7631054,25.1659622,0,0,0,0,3
117093590328410112,1152922466679528960,-86.0324249,96.7806931,-724.400024,14.0167484,-4.81611919,5.35967302,-33.2394791,34.011692,0,0,0,0,4
58546795172593664,1152922466679531520,-104.067192,-102.653366,-723.200012,1.45985031,-6.20895672,-6.18884706,-43.0661316,43.9494667,0,0,0,0,4
58546795172593664,1152922466679531776,-104.240196,-102.825813,-724.400024,1.46393514,-6.20885324,-6.18895054,-43.0661316,43.9494667,0,0,0,0,5
13510798915665920,1152922466679534080,78.4078674,-105.454384,-724.400024,0.81279701,5.37120199,-7.28983736,-46.1241646,47.0046921,0,0,0,0,5
9007199288295424,1152922466679536384,11.2848129,124.162315,-723.200012,4.20293474,0.839016855,8.81200886,-45.5982437,46.4496117,0,0,0,0,5
207165582875820032,1152922466679536384,34.6221581,146.243942,-723.200012,2.15459371,0.337103605,1.61860526,-8.10725689,8.27479839,0,0,0,0,3
9007199288295424,1152922466679536640,11.3068953,124.394218,-724.400024,4.20701218,0.839155853,8.81199551,-45.5982437,46.4496117,0,0,0,0,6
157625986991521792,1152922604118475008,93.3638916,-5.07407999,-615.599976,7.17856216,4.47547007,-0.270642638,-24.7631054,25.1659622,0,0,0,0,2
27021597797777408,1152922604118475264,78.2046127,17.4353504,-616.799988,3.51741385,2.11389446,0.446532786,-17.3575172,17.491785,0,0,0,0,2
211669182503190528,1152922604118476544,-56.9648781,-35.1698265,-615.599976,3.23970771,-3.69968939,-2.30891037,-39.8513031,40.0893517,0,0,0,0,2
166633186229485568,1152922604118477056,-20.0732517,-53.1515884,-615.599976,-5.10689926,-1.82419717,-4.87553835,-48.9860077,49.26194,0,0,0,0,1
171136785856856064,1152922604118477056,-28.5877457,-54.466423,-615.599976,-7.34288073,-2.10718203,-3.97183061,-42.7155952,42.9517021,0,0,0,0,1
175640385501003776,1152922604118477056,-35.9801598,-63.2130508,-615.599976,3.59384418,-3.31988192,-5.78792095,-60.0062752,60.3762016,0,0,0,0,1
166633186229485568,1152922604118477312,-20.117939,-53.2710228,-616.799988,-5.1028738,-1.82412553,-4.87556505,-48.9860077,49.26194,0,0,0,0,2
13510798915665920,1152922604118478336,65.725853,-88.2677078,-615.599976,0.442951053,5.38150644,-7.28223324,-46.1241646,47.0046921,0,0,0,0,3
72057594071482368,1152922604118478592,51.4751129,-55.1778297,-616.799988,5.87323618,5.86636829,-6.32199907,-61.4152794,62.0179787,0,0,0,0,1
63050394799964160,1152922604118478848,70.1454468,-42.5348282,-615.599976,0.479682326,2.40726709,-1.43130851,-23.6592979,23.8247166,0,0,0,0,3
9007199288295424,1152922604118480128,9.31966209,103.366875,-615.599976,3.83731842,0.826548219,8.81318665,-45.5982437,46.4496117,0,0,0,0,3
117093590328410112,1152922604118480896,-70.4589462,79.4156952,-616.799988,13.6494951,-4.80570745,5.36901093,-33.2394791,34.011692,0,0,0,0,2
117093590328410112,1152922604118482432,-71.5578232,80.6432114,-624.400024,13.6754351,-4.80644321,5.36835194,-33.2394791,34.011692,0,0,0,0,3
58546795172593664,1152922604118484992,-89.6399307,-88.2928391,-623.200012,1.11944437,-6.21756697,-6.18019629,-43.0661316,43.9494667,0,0,0,0,2
58546795172593664,1152922604118485248,-89.813179,-88.4650497,-624.400024,1.12352931,-6.21746397,-6.18030024,-43.0661316,43.9494667,0,0,0,0,3
13510798915665920,1152922604118487552,66.7525101,-89.6571426,-624.400024,0.472865045,5.38067341,-7.28284883,-46.1241646,47.0046921,0,0,0,0,4
207165582875820032,1152922604118489856,30.3903217,126.294609,-623.200012,1.81413627,0.349064916,1.61606789,-8.10725689,8.27479839,0,0,0,0,2
9007199288295424,1152922604118490112,9.47927666,105.067719,-624.400024,3.86722016,0.827567995,8.81309128,-45.5982437,46.4496117,0,0,0,0,4
27021597797777408,1224979236083730432,31.3182354,7.20460033,-231.254974,2.22142601,2.10776043,0.474645168,-17.3575172,17.491785,0,0,0,0,0
157625986991521792,1224979236083730432,32.3842735,-1.63637221,-278.274841,6.03506136,4.47753143,-0.234080166,-24.7631054,25.1659622,0,0,0,0,0
18014398543036416,1224979236083731200,32.726593,-4.47605038,-10.3382626,0.748218238,3.84985542,-0.534870744,-0.442537099,3.91337156,0,0,0,0,0
31525197425147904,1224979236083731200,31.9502525,1.96301687,-47.3515244,-3.93046403,2.1942389,0.125726029,-0.93420589,2.39048028,0,0,0,0,0
180143985128374272,1224979236083731456,33.1327782,-7.84392071,49.1109123,4.69811964,2.32472563,-0.56121999,5.29568624,5.81160641,0,0,0,0,1
198158383637856256,1224979236083731456,31.8372116,2.90049267,22.6925201,-0.805732787,1.20465183,0.100408778,1.84309196,2.20667624,0,0,0,0,0
18014398526259200,1224979236083731712,31.2574081,7.70906401,129.546646,1.10391057,1.79991353,0.454591244,7.84766531,8.06494617,0,0,0,0,0
63050394816741376,1224979236083731712,31.5668697,5.14259434,99.9225616,-1.71844721,7.25747061,1.18780088,5.13915491,8.97239304,0,0,0,0,0
207165582892597248,1224979236083731712,32.5699196,-3.17598462,119.038567,0.012619039,2.94215107,-0.296281487,9.49744034,9.94769192,0,0,0,0,0
27021597797777408,1224979236083734016,32.4691391,7.46357393,-240.732391,2.25328398,2.10791564,0.473955095,-17.3575172,17.491785,0,0,0,0,1
121597189955780608,1224979236083734528,28.7406578,14.0871744,-107.096161,-2.62590504,3.04497766,1.48029602,-2.95491695,4.49509335,0,0,0,0,0
153122387364151296,1224979236083734784,27.8914452,15.5958061,-18.6524639,0.238249764,7.78787994,4.37224245,-0.3526977,8.93885517,0,0,0,0,0
18014398526259200,1224979236083735296,32.1972466,7.94658899,133.644531,1.11795819,1.79977107,0.455154747,7.84766531,8.06494617,0,0,0,0,1
63050394816741376,1224979236083735296,33.589283,5.47376823,101.354691,-1.71010697,7.25727224,1.1890136,5.13915491,8.97239304,0,0,0,0,1
94575592208334848,1224979236083736320,-23.7420502,-21.988615,258.673553,3.94292688,-1.25744939,-1.17757976,14.0540085,14.1595964,0,0,0,0,0
112589990717816832,1224979236083736576,-21.67062,-23.6142597,306.877075,-4.66693068,-6.07502127,-6.63436127,57.6979256,58.3950539,0,0,0,0,0
211669182503190528,1224979236083737344,-29.0406227,-17.8303432,-315.235687,2.23181534,-3.71008587,-2.29216743,-39.8513031,40.0893517,0,0,0,0,1
58546795172593664,1224979236083737856,-23.0535278,-22.5289707,-163.447083,-0.445581615,-6.25699806,-6.14027214,-43.0661316,43.9494667,0,0,0,0,0
117093590345187328,1224979236083737856,-25.7173023,-20.4383831,-161.915894,12.1377888,-3.62155819,-2.86847305,-4.89304113,6.73029232,0,0,0,0,0
90071992580964352,1224979236083738112,-25.6601448,-20.4833126,-72.0161209,5.70092154,-5.32588053,-4.24093294,-23.8439178,24.7970581,0,0,0,0,0
135107988854669312,1224979236083738368,-17.8763275,-26.5919933,-29.505722,0.969441772,-1.81449199,-2.68124723,-5.30692005,6.21739769,0,0,0,0,0
193654783993708544,1224979236083738368,-23.131813,-22.4675083,-13.9202261,5.28437614,-4.26297855,-4.12351847,-17.2161198,18.209404,0,0,0,0,0
216172782147338240,1224979236083738368,-27.0746269,-19.3732738,-61.8234787,13.9681625,-3.27303886,-2.35349941,-6.68955898,7.81108856,0,0,0,0,1
90071992564187136,1224979236083738624,-17.5990295,-26.809618,39.5989189,5.40955305,-1.59038353,-2.40569901,-0.307974666,2.90219212,0,0,0,0,0
9007199271518208,1224979236083738880,-21.5775318,-23.6873055,98.2374878,2.62804842,-4.88737345,-5.35384178,40.5505219,41.1935196,0,0,0,0,0
112589990701039616,1224979236083738880,-24.0918713,-21.7140999,141.165146,-5.18952942,-5.29359341,-4.78457499,8.77647209,11.3115835,0,0,0,0,0
166633186229485568,1224979236083739648,-11.3737087,-30.0008049,-382.872742,-5.88756657,-1.83807802,-4.87032223,-48.9860077,49.26194,0,0,0,0,0
171136785856856064,1224979236083740928,-15.1155939,-28.9543209,-341.505676,-8.26221466,-2.09188533,-3.97990823,-42.7155952,42.9517021,0,0,0,0,0
175640385501003776,1224979236083741184,-16.2326717,-28.6419106,-257.550293,2.39215612,-3.29915357,-5.7997613,-60.0062752,60.3762016,0,0,0,0,0
220676381774708736,1224979236083741696,-15.3617773,-28.8854713,-96.2227859,0.36852625,-3.48851466,-6.57588863,-27.4016781,28.3949852,0,0,0,0,0
4503599644147712,1224979236083741952,-12.9046631,-29.5726337,-40.4016266,14.5765152,-3.86285162,-8.82317734,3.4927907,10.2460155,0,0,0,0,0
135107988854669312,1224979236083741952,-18.7814808,-27.9290962,-32.1524773,0.979785085,-1.81529367,-2.68070459,-5.30692005,6.21739769,0,0,0,0,1
49539595934629888,1224979236083742208,-4.46011734,-31.9343052,35.8390312,0.16087833,-1.11084366,-7.89603329,16.0455647,17.9179401,0,0,0,0,0
67553994444111872,1224979236083742208,-10.5665426,-30.2265396,23.0852261,3.47659898,-2.01619935,-5.80570602,8.79818344,10.7326822,0,0,0,0,0
90071992564187136,1224979236083742208,-18.4083176,-28.0333862,39.4422379,5.4144783,-1.59111726,-2.40521383,-0.307974666,2.90219212,0,0,0,0,1
126100789583151104,1224979236083742208,-7.08919334,-31.199028,30.38908,-0.469293058,-1.19078982,-5.29473686,-0.770549953,5.48243856,0,0,0,0,0
211669182519967744,1224979236083742208,-10.5080299,-30.2428951,61.383419,1.42880154,-1.48696566,-4.25314713,9.16309166,10.2114515,0,0,0,0,0
193654784010485760,1224979236083742464,-14.2958031,-29.1836052,136.266983,5.17150021,-3.6587224,-7.48032284,14.4820471,16.7057571,0,0,0,0,0
157625986974744576,1224979236083745024,-2.119488,-32.4425278,-178.325348,5.71335602,-0.144643784,-2.08464646,-5.09592104,5.50874281,0,0,0,0,0
180143985111597056,1224979236083745280,2.33974886,-31.9048328,-90.1987076,4.66032457,0.430454552,-5.9673562,-11.9431496,13.3583164,0,0,0,0,0
36028797052518400,1224979236083745536,-3.71639824,-32.6350479,-37.9438057,-0.897298813,-0.830260932,-7.21739721,-5.72730732,9.25166893,0,0,0,0,0
49539595934629888,1224979236083745792,-4.57326508,-32.7383957,37.4730377,0.166964799,-1.11132574,-7.89596558,16.0455647,17.9179401,0,0,0,0,1
126100789583151104,1224979236083745792,-7.5149765,-33.0931816,30.1134281,-0.462751001,-1.18965411,-5.29499245,-0.770549953,5.48243856,0,0,0,0,1
202661983265226752,1224979236083745792,0.0847306475,-32.1767197,33.0700874,1.72065711,-0.00193089189,-2.39758849,-0.738020837,2.51083112,0,0,0,0,0
144115188092633088,1224979236083746304,5.27559471,-31.5508289,154.847412,-3.32383418,0.471864104,-2.76290393,9.67057514,10.0691357,0,0,0,0,0
85568392936816640,1224979236083747328,14.7446327,-28.3705807,299.663452,-5.81690741,1.43229008,-2.73497272,24.6205807,24.8136177,0,0,0,0,0
13510798915665920,1224979236083748352,19.3127899,-25.7991352,-219.180359,-0.904606044,5.418962,-7.25440454,-46.1241646,47.0046921,0,0,0,0,0
148618787736780800,1224979236083749120,11.4258213,-30.2387486,-49.3162613,-0.463092655,2.71421146,-7.2096858,-6.94466543,10.3723698,0,0,0,0,0
198158383621079040,1224979236083749120,9.32556915,-31.4210701,-41.0874176,-0.880096316,1.22039282,-4.07723427,-1.95316815,4.68393278,0,0,0,0,0
76561193682075648,1224979236083749376,10.9036541,-30.5327129,21.2127056,-4.70894051,2.17234206,-6.05784225,-1.04302847,6.52039862,0,0,0,0,0
144115188109410304,1224979236083749376,14.2907219,-28.6260834,40.1700172,-3.59945917,3.20606852,-6.44284725,-0.968890131,7.26216698,0,0,0,0,0
148618787720003584,1224979236083749376,17.5337238,-26.800581,43.7489052,-0.369911671,4.32270527,-6.62659597,15.7747431,17.6479816,0,0,0,0,0
22517998170406912,1224979236083749632,14.617034,-28.4423943,128.125565,8.966115,0.816353738,-1.61091256,12.1873598,12.3208914,0,0,0,0,0
144115188092633088,1224979236083749888,5.61096239,-33.5119896,161.712021,-3.29999256,0.473039985,-2.7627027,9.67057514,10.0691357,0,0,0,0,1
72057594071482368,1224979236083751680,22.0931358,-23.6088505,-309.694397,4.83878899,5.88529682,-6.30438232,-61.4152794,62.0179787,0,0,0,0,0
13510798915665920,1224979236083751936,19.8303947,-26.4920979,-223.586182,-0.889629245,5.4185462,-7.25471497,-46.1241646,47.0046921,0,0,0,0,1
63050394799964160,1224979236083752192,27.4198494,-16.8214397,-194.335815,-0.935328364,2.39184976,-1.45692611,-23.6592979,23.8247166,0,0,0,0,0
171136785873633280,1224979236083752448,21.5465775,-24.3053055,-138.879959,-8.92779827,1.32159245,-1.50508392,-6.63787794,6.93429661,0,0,0,0,0
184647584755744768,1224979236083752448,19.9542313,-26.3343143,-101.834251,-2.07225132,0.666813433,-0.8644256,-2.37749934,2.61830831,0,0,0,0,0
