particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
4503599660924928,1152921779484762624,-160.572525,29.8432789,-1524.40002,5.62929583,-8.37714291,1.50780487,-81.1173859,81.5628052,0,0,0,0,9
180143985128374272,1152921779484762624,-154.431,24.5842857,-1524.40002,5.83787775,-3.89336681,0.666737258,-37.6882362,37.8948174,0,0,0,0,10
162129586618892288,1152921779484766720,111.088249,-116.667435,-1524.40002,6.03682995,2.96576047,-3.18583274,-42.6607513,42.8823509,0,0,0,0,8
157625986974744576,1152921779484767232,145.831253,-84.5861664,-1524.40002,-3.35530186,8.54280663,-4.8984623,-86.3169022,86.8768845,0,0,0,0,8
58546795172593664,1152921916923714304,-17.0550919,171.821793,-1323.19995,4.79087734,-0.169924587,1.1873337,-8.84310818,8.92470455,0,0,0,0,10
4503599660924928,1152921916923716096,-139.920914,26.1104259,-1324.40002,4.9585042,-8.37490463,1.52018726,-81.1173859,81.5628052,0,0,0,0,8
180143985128374272,1152921916923716096,-133.764496,21.078989,-1324.40002,5.1670928,-3.89546871,0.65434593,-37.6882362,37.8948174,0,0,0,0,9
225179981385302016,1152921916923718144,-89.562851,-130.765244,-1323.19995,0.3149786,-0.772268295,-1.21194696,-12.1480894,12.2332516,0,0,0,0,9
162129586618892288,1152921916923720192,97.1633453,-101.751328,-1324.40002,5.36623621,2.97470403,-3.17748356,-42.6607513,42.8823509,0,0,0,0,7
162129586602115072,1152921916923720448,131.324966,-96.4864426,-1323.19995,5.37049675,1.4453336,-1.00169289,-14.8664389,14.9704552,0,0,0,0,9
157625986974744576,1152921916923720704,126.045097,-73.2224731,-1324.40002,-4.02675819,8.53599358,-4.91032553,-86.3169022,86.8768845,0,0,0,0,7
139611588482039808,1152921916923722752,-10.4556799,167.36261,-1324.40002,9.39297485,-0.596670151,8.73585415,-67.7700043,68.3334198,0,0,0,0,7
58546795172593664,1152922054362667776,-13.3941832,144.943253,-1123.19995,4.11759329,-0.153808624,1.1895287,-8.84310818,8.92470455,0,0,0,0,8
81064793326223360,1152922054362668288,-76.3343201,155.494873,-1123.19995,4.85702276,-3.88190246,7.78741598,-55.4391747,56.1179657,0,0,0,0,7
4503599660924928,1152922054362669568,-119.274834,22.3470478,-1124.40002,4.28771305,-8.37264824,1.53256643,-81.1173859,81.5628052,0,0,0,0,7
180143985128374272,1152922054362669568,-113.086937,17.6394672,-1124.40002,4.49630785,-3.89753103,0.641947985,-37.6882362,37.8948174,0,0,0,0,8
126100789599928320,1152922054362670848,-147.944962,-85.2943649,-1124.40002,9.94575977,-5.15194988,-2.91169238,-35.2875633,35.7804947,0,0,0,0,5
198158383637856256,1152922054362670848,-127.526924,-80.8579483,-1124.40002,3.78189945,-5.86423206,-3.77201939,-46.8729897,47.3888779,0,0,0,0,7
225179981385302016,1152922054362671360,-76.8278046,-110.9944,-1124.40002,-0.352795571,-0.784122586,-1.20431125,-12.1480894,12.2332516,0,0,0,0,8
225179981385302016,1152922054362671616,-76.7503433,-110.875443,-1123.19995,-0.356826425,-0.784193933,-1.20426476,-12.1480894,12.2332516,0,0,0,0,7
54043195545223168,1152922054362673408,71.3697891,-140.819214,-1123.19995,1.99003673,2.50356984,-4.83498955,-37.7688904,38.1594696,0,0,0,0,6
162129586618892288,1152922054362673664,83.1965714,-86.8744278,-1124.40002,4.69564247,2.98362398,-3.16910934,-42.6607513,42.8823509,0,0,0,0,6
