particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
193654783993708544,1152921779484760320,152.942642,-11.8105545,-1523.19995,1.06473124,8.31656933,-0.688522995,-79.2194672,79.6578598,0,0,0,0,8
193654783993708544,1152921916923713792,131.945053,-10.0881796,-1323.19995,0.393911242,8.31760216,-0.675933182,-79.2194672,79.6578598,0,0,0,0,7
198158383637856256,1152921916923714816,-73.9045639,132.431061,-1323.19995,-2.57095647,-4.02019358,7.11098242,-69.4496231,69.9284592,0,0,0,0,6
81064793309446144,1152921916923716864,145.300156,55.0193253,-1323.19995,9.72548008,3.16457582,1.24827623,-28.72369,28.9246311,0,0,0,0,6
193654783993708544,1152922054362667264,110.944885,-8.39759159,-1123.19995,-0.276908755,8.31861496,-0.66334182,-79.2194672,79.6578598,0,0,0,0,5
58546795172593664,1152922054362668032,-45.3874359,140.069565,-1124.40002,-2.80781102,-0.528886378,1.48850048,-11.4898272,11.5983896,0,0,0,0,6
198158383637856256,1152922054362668288,-62.3449516,111.942978,-1123.19995,-3.24268436,-4.0079093,7.11791325,-69.4496231,69.9284592,0,0,0,0,5
81064793309446144,1152922054362670336,123.247475,46.3737335,-1123.19995,9.05368519,3.16975951,1.23505378,-28.72369,28.9246311,0,0,0,0,5
225179981402079232,1152922054362671360,-111.735023,-127.078003,-1124.40002,-2.25100398,-1.613361,-1.91196239,-17.544632,17.7224102,0,0,0,0,6
193654783993708544,1152922054362674688,111.070892,-8.40764046,-1124.40002,-0.272883832,8.31860924,-0.663417339,-79.2194672,79.6578598,0,0,0,0,6
189151184383115264,1152922054362675200,104.444191,125.215523,-1124.40002,12.4183912,4.34273291,5.28282881,-50.0574379,50.5225296,0,0,0,0,8
193654783993708544,1152922191801614592,95.445137,-7.1703248,-975.599976,-0.771973908,8.3193512,-0.654048383,-79.2194672,79.6578598,0,0,0,0,4
58546795172593664,1152922191801621504,-39.0094261,121.909264,-984.400024,-3.27921319,-0.517997742,1.49232459,-11.4898272,11.5983896,0,0,0,0,5
198158383637856256,1152922191801621760,-54.2742805,97.5894547,-983.200012,-3.71289372,-3.99930334,7.12275219,-69.4496231,69.9284592,0,0,0,0,4
36028797035741184,1152922191801623808,159.4319,66.3898926,-983.200012,0.206830412,4.21765614,1.81257677,-26.3304482,26.7278442,0,0,0,0,6
81064793309446144,1152922191801623808,107.789215,40.3766327,-983.200012,8.58342838,3.17335534,1.22578514,-28.72369,28.9246311,0,0,0,0,4
225179981402079232,1152922191801624832,-98.8245239,-111.852074,-984.400024,-2.72272563,-1.62249017,-1.90422142,-17.544632,17.7224102,0,0,0,0,5
58546795189370880,1152922191801626880,78.3751297,-150.52562,-983.200012,-3.26130271,2.21402121,-4.36325788,-26.8091373,27.2521725,0,0,0,0,6
31525197408370688,1152922191801627648,129.93396,-85.3943405,-984.400024,-2.1366713,3.24654102,-2.18900895,-24.2636299,24.5777683,0,0,0,0,6
189151184383115264,1152922191801628672,92.2861099,110.450768,-984.400024,11.9470625,4.35158587,5.27553892,-50.0574379,50.5225296,0,0,0,0,7
90071992580964352,1152922191801628928,78.2242889,139.157227,-983.200012,7.93434477,1.76803946,3.24214792,-21.8833199,22.1929779,0,0,0,0,5
193654783993708544,1152922329240568064,80.742218,-6.02225256,-835.599976,-1.24154794,8.32003975,-0.645232737,-79.2194672,79.6578598,0,0,0,0,3
81064793309446144,1152922329240568320,91.6056137,34.1537285,-836.799988,8.0916748,3.17708635,1.21608174,-28.72369,28.9246311,0,0,0,0,3
58546795172593664,1152922329240573440,-32.4290466,102.713203,-836.799988,-3.77620554,-0.506488085,1.49627006,-11.4898272,11.5983896,0,0,0,0,3
198158383637856256,1152922329240573696,-45.7842827,82.4461899,-835.599976,-4.20862913,-3.99022365,7.1278429,-69.4496231,69.9284592,0,0,0,0,3
58546795172593664,1152922329240574976,-32.7642632,103.70285,-844.400024,-3.75061512,-0.507081449,1.49606907,-11.4898272,11.5983896,0,0,0,0,4
148618787736780800,1152922329240575232,-78.2171783,138.281006,-843.200012,-6.94773483,-4.54274273,7.93619156,-53.3866577,54.1642494,0,0,0,0,5
36028797035741184,1152922329240577280,136.991135,56.7881165,-843.200012,-0.267207444,4.22341347,1.79912162,-26.3304482,26.7278442,0,0,0,0,5
225179981402079232,1152922329240578304,-85.8413162,-96.6880875,-844.400024,-3.19444752,-1.63158238,-1.89643693,-17.544632,17.7224102,0,0,0,0,4
58546795189370880,1152922329240580352,66.7776413,-127.758385,-843.200012,-3.7360096,2.2276721,-4.35630417,-26.8091373,27.2521725,0,0,0,0,5
202661983265226752,1152922329240580352,90.0750122,-140.364929,-843.200012,3.22596192,2.88297224,-4.58470964,-27.6940632,28.2188473,0,0,0,0,5
31525197408370688,1152922329240581120,111.179764,-72.7962952,-844.400024,-2.60970712,3.2540946,-2.17776418,-24.2636299,24.5777683,0,0,0,0,5
189151184383115264,1152922329240582144,80.1032867,95.7064133,-844.400024,11.4757338,4.36042643,5.26823425,-50.0574379,50.5225296,0,0,0,0,6
90071992580964352,1152922329240582400,66.8733902,118.437111,-843.200012,7.46074724,1.78046298,3.23534203,-21.8833199,22.1929779,0,0,0,0,4
193654783993708544,1152922466679521536,68.1387482,-5.05059052,-715.599976,-1.64403999,8.32062244,-0.637675881,-79.2194672,79.6578598,0,0,0,0,2
81064793309446144,1152922466679521792,78.3262405,29.0898876,-716.799988,7.68859768,3.18012261,1.20811963,-28.72369,28.9246311,0,0,0,0,2
189151184383115264,1152922466679525888,68.9779892,82.2858124,-716.799988,11.0461512,4.36847305,5.26156378,-50.0574379,50.5225296,0,0,0,0,4
58546795172593664,1152922466679526912,-27.1882381,87.0696716,-716.799988,-4.18026447,-0.497108459,1.49941242,-11.4898272,11.5983896,0,0,0,0,2
198158383637856256,1152922466679527168,-38.8960724,70.1266251,-715.599976,-4.61166573,-3.98283696,7.13197279,-69.4496231,69.9284592,0,0,0,0,2
148618787736780800,1152922466679528704,-68.0182419,120.435532,-723.200012,-7.35384178,-4.53204298,7.942307,-53.3866577,54.1642494,0,0,0,0,4
76561193682075648,1152922466679529472,-134.20491,91.7865906,-724.400024,-3.39145088,-2.15977979,1.41784549,-11.8876743,12.1656446,0,0,0,0,6
36028797035741184,1152922466679530752,117.731911,48.6149979,-723.200012,-0.673525631,4.22831392,1.78757405,-26.3304482,26.7278442,0,0,0,0,4
225179981402079232,1152922466679531776,-74.65522,-83.7399445,-724.400024,-3.59878039,-1.63934588,-1.88972986,-17.544632,17.7224102,0,0,0,0,3
58546795189370880,1152922466679533824,56.7802315,-108.272598,-723.200012,-4.14290142,2.23935556,-4.35030985,-26.8091373,27.2521725,0,0,0,0,4
202661983265226752,1152922466679533824,77.5571289,-120.515366,-723.200012,2.81809998,2.89487386,-4.57720423,-27.6940632,28.2188473,0,0,0,0,4
31525197408370688,1152922466679534592,95.0701218,-62.0496597,-724.400024,-3.01516628,3.2605381,-2.16810513,-24.2636299,24.5777683,0,0,0,0,4
189151184383115264,1152922466679535616,69.6411972,83.0846786,-724.400024,11.0717382,4.36799383,5.26196146,-50.0574379,50.5225296,0,0,0,0,5
90071992580964352,1152922466679535872,57.0808411,100.711777,-723.200012,7.05480623,1.79109085,3.22947073,-21.8833199,22.1929779,0,0,0,0,3
193654783993708544,1152922604118475008,57.6351929,-4.2496171,-615.599976,-1.97944999,8.32110214,-0.631378114,-79.2194672,79.6578598,0,0,0,0,1
36028797035741184,1152922604118475264,100.63678,41.4122086,-616.799988,-1.0337944,4.23263264,1.77732408,-26.3304482,26.7278442,0,0,0,0,2
81064793309446144,1152922604118475264,67.2504272,24.895443,-616.799988,7.35269976,3.18263745,1.20147872,-28.72369,28.9246311,0,0,0,0,1
225179981402079232,1152922604118476800,-64.5799408,-72.1688766,-616.799988,-3.96133208,-1.64628363,-1.88368893,-17.544632,17.7224102,0,0,0,0,2
58546795189370880,1152922604118478336,47.77145,-90.8232117,-615.599976,-4.50774765,2.24981785,-4.34490824,-26.8091373,27.2521725,0,0,0,0,3
31525197408370688,1152922604118478848,80.4365692,-52.347374,-615.599976,-3.3827827,3.26635551,-2.15933108,-24.2636299,24.5777683,0,0,0,0,3
189151184383115264,1152922604118479360,60.2447739,71.7799835,-616.799988,10.7094879,4.37477207,5.25632763,-50.0574379,50.5225296,0,0,0,0,3
90071992580964352,1152922604118479616,48.2506752,84.84552,-615.599976,6.69081211,1.80060399,3.22417617,-21.8833199,22.1929779,0,0,0,0,2
58546795172593664,1152922604118480384,-22.8957977,74.0085297,-616.799988,-4.51698017,-0.489277184,1.50198603,-11.4898272,11.5983896,0,0,0,0,1
198158383637856256,1152922604118480640,-33.1656494,59.8548813,-615.599976,-4.94752979,-3.97667813,7.13540888,-69.4496231,69.9284592,0,0,0,0,1
148618787736780800,1152922604118482176,-59.5375023,105.553818,-623.200012,-7.69226456,-4.52311993,7.94739151,-53.3866577,54.1642494,0,0,0,0,3
76561193682075648,1152922604118482688,-115.849556,79.6695709,-623.200012,-3.73691106,-2.15251446,1.42885113,-11.8876743,12.1656446,0,0,0,0,4
76561193682075648,1152922604118482944,-116.066849,79.813797,-624.400024,-3.73281479,-2.152601,1.42872083,-11.8876743,12.1656446,0,0,0,0,5
36028797035741184,1152922604118484224,101.66555,41.8442879,-623.200012,-1.01212406,4.23237324,1.77794087,-26.3304482,26.7278442,0,0,0,0,3
54043195562000384,1152922604118485760,-46.9494171,-144.057449,-624.400024,-1.40382957,-2.03537416,-6.38968992,-28.0278721,28.8191547,0,0,0,0,4
202661983265226752,1152922604118487296,67.0861969,-103.998947,-623.200012,2.47821498,2.90477681,-4.57092619,-27.6940632,28.2188473,0,0,0,0,3
193654783993708544,1224979236083728896,32.47192,-2.36325097,-376.054199,-2.78291059,8.3222332,-0.616290569,-79.2194672,79.6578598,0,0,0,0,0
103582791463075840,1224979236083730688,33.1461105,-7.95449877,-176.174637,-7.03731728,0.994013667,-0.249365583,-2.68350577,2.87447619,0,0,0,0,1
49539595917852672,1224979236083730944,32.4679832,-2.3307426,-134.851059,-1.41612947,8.7903471,-0.636393666,-6.7252202,11.0867014,0,0,0,0,0
67553994427334656,1224979236083731200,32.8659859,-5.63116407,-16.6411381,7.69559383,5.4555378,-0.924293339,3.16401386,6.37490034,0,0,0,0,1
18014398526259200,1224979236083731456,31.8341522,2.92596412,42.8798904,-1.51974714,6.59780741,0.616167068,0.154729798,6.62916517,0,0,0,0,0
162129586602115072,1224979236083731456,32.9839821,-6.60992908,28.5235977,4.89985943,3.03337383,-0.595235169,3.75771093,4.86695147,0,0,0,0,1
211669182503190528,1224979236083731456,32.6003532,-3.42816567,66.3099213,1.01212585,9.14985752,-0.95597589,-0.512647927,9.21454048,0,0,0,0,0
130604389210521600,1224979236083731712,32.3342056,-1.22103,129.807144,1.9651804,8.52272034,-0.307974309,21.3200455,22.9627323,0,0,0,0,0
189151184366338048,1224979236083731968,31.7765656,3.4035418,177.478821,8.77761269,3.206357,0.352198333,10.9489088,11.4146633,0,0,0,0,0
81064793309446144,1224979236083734016,30.4044704,11.1314392,-284.692688,6.23715925,3.19089031,1.1793865,-28.72369,28.9246311,0,0,0,0,0
36028797035741184,1224979236083734272,29.8557625,12.1062431,-177.399719,-2.52159715,4.25020361,1.73488486,-26.3304482,26.7278442,0,0,0,0,0
121597189972557824,1224979236083734784,30.9681492,10.1300716,-28.1817608,-3.16158032,1.97258472,0.655684054,-2.12665224,2.97570586,0,0,0,0,0
135107988837892096,1224979236083734784,30.1453724,11.5916386,-68.7926559,6.54874706,1.81295311,0.687823415,-0.909277678,2.14425969,0,0,0,0,0
22517998170406912,1224979236083735040,28.8291874,13.929903,10.8920202,-9.27071476,3.05829597,1.46659255,0.202754214,3.39946175,0,0,0,0,0
4503599644147712,1224979236083735552,28.508543,14.4995251,151.944138,1.5926379,2.29478741,1.15622759,1.16930115,2.82512665,0,0,0,0,0
211669182519967744,1224979236083735552,31.8039093,8.64535141,186.773209,1.31332994,4.57079077,1.2510103,17.0615635,17.7077751,0,0,0,0,0
117093590328410112,1224979236083736320,-23.6724186,-22.0432606,254.671341,5.88818979,-1.13586402,-1.07118464,12.2231846,12.3229475,0,0,0,0,0
225179981402079232,1224979236083737856,-21.5553875,-23.7047024,-162.302765,-5.49273348,-1.67534208,-1.85789204,-17.544632,17.7224102,0,0,0,0,0
90071992564187136,1224979236083738112,-22.6738548,-22.8269672,-110.734566,5.00197744,-1.11783445,-1.14004493,-3.65253329,3.98765826,0,0,0,0,0
207165582875820032,1224979236083738112,-22.0586433,-23.3097267,-113.630089,-2.24610639,-3.13611531,-3.29984784,-1.76623142,4.88415289,0,0,0,0,0
157625986991521792,1224979236083738368,-19.7507915,-25.1209202,-30.5293217,5.36369371,-3.74118161,-4.74635696,-4.4099741,7.48220444,0,0,0,0,0
180143985111597056,1224979236083738368,-23.1588497,-22.4463272,-42.1046104,-0.10819795,-2.96369576,-2.88909531,-4.82178116,6.35539961,0,0,0,0,0
180143985128374272,1224979236083738368,-18.0467491,-26.4582443,-32.1205177,-0.13235122,-2.20214891,-3.21461987,-3.35677075,5.14415359,0,0,0,0,0
99079191818928128,1224979236083738624,-21.4201279,-23.8108349,28.6760826,-4.80337858,-3.99343944,-4.42532873,3.62431359,6.97695541,0,0,0,0,0
72057594054705152,1224979236083738880,-29.3435707,-17.5925922,142.982361,4.29286242,-4.81179523,-2.87307596,30.5415173,31.0516243,0,0,0,0,1
112589990717816832,1224979236083738880,-25.811861,-20.3642464,130.522415,-1.47653949,-1.89955902,-1.48486614,12.3600912,12.5934973,0,0,0,0,0
85568392936816640,1224979236083740160,-9.33970833,-30.5696373,303.342224,5.17382574,-1.50053215,-4.89076376,43.4396591,43.7399826,0,0,0,0,0
54043195562000384,1224979236083741696,-10.0641575,-30.3670387,-124.846176,-3.11720562,-2.10354114,-6.36757421,-28.0278721,28.8191547,0,0,0,0,0
