particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
225179981385302016,1152921779484766208,122.939079,82.4781036,-1524.40002,-2.47144294,7.50431681,4.98169231,-89.0879898,89.542244,0,0,0,0,9
81064793309446144,1152921916923717120,-145.855133,-48.7502747,-1323.19995,0.285323292,-2.63602614,-0.831950426,-24.6539021,24.8086052,0,0,0,0,6
67553994427334656,1152921916923717888,-96.047287,-119.909729,-1324.40002,6.15741253,-1.84322882,-2.37518954,-24.3887539,24.5735931,0,0,0,0,6
54043195545223168,1152921916923718656,-31.7426891,-151.356369,-1323.19995,11.2562666,-0.954789877,-4.77712297,-40.1894073,40.4837303,0,0,0,0,7
225179981385302016,1152921916923719680,106.099632,71.2830124,-1324.40002,-3.14197278,7.49760437,4.99178886,-89.0879898,89.542244,0,0,0,0,8
49539595934629888,1152921916923720704,139.572968,-80.3626938,-1324.40002,-3.38389039,2.2763443,-1.36620402,-20.1703854,20.3446274,0,0,0,0,6
225179981385302016,1152922054362664192,88.535347,59.5711632,-1115.59998,-3.84200597,7.49058199,5.00232029,-89.0879898,89.542244,0,0,0,0,6
76561193698852864,1152922054362667776,-16.2809315,149.384262,-1123.19995,10.4634647,-0.464065999,3.84684372,-28.5192242,28.7814331,0,0,0,0,5
81064793309446144,1152922054362670592,-124.487381,-41.9492569,-1123.19995,-0.385991096,-2.63194847,-0.844762206,-24.6539021,24.8086052,0,0,0,0,5
67553994427334656,1152922054362671360,-80.8840637,-100.469223,-1124.40002,5.48522854,-1.8548851,-2.36609793,-24.3887539,24.5735931,0,0,0,0,5
135107988837892096,1152922054362671616,-78.4788742,-147.531021,-1123.19995,1.31513715,-4.34651756,-8.27985191,-56.0652428,56.8398705,0,0,0,0,5
54043195545223168,1152922054362672128,-26.9557781,-127.590446,-1123.19995,10.5842533,-0.969039559,-4.77425289,-40.1894073,40.4837303,0,0,0,0,6
225179981385302016,1152922054362673152,89.2752686,60.0652657,-1124.40002,-3.81250262,7.49087811,5.00187683,-89.0879898,89.542244,0,0,0,0,7
49539595934629888,1152922054362674176,116.961678,-66.8832397,-1124.40002,-4.05678177,2.28442645,-1.35264659,-20.1703854,20.3446274,0,0,0,0,5
225179981385302016,1152922191801617664,76.7677536,51.7045746,-975.599976,-4.31137657,7.48586559,5.00937605,-89.0879898,89.542244,0,0,0,0,5
76561193698852864,1152922191801621248,-14.0306406,130.496902,-983.200012,9.99218082,-0.452741414,3.84819293,-28.5192242,28.7814331,0,0,0,0,4
