particle_id,geometry_id,tx,ty,tz,tt,tpx,tpy,tpz,te,deltapx,deltapy,deltapz,deltae,index
211669182519967744,1152921779484764160,-122.780731,-105.658424,-1523.19995,8.36365509,-2.64953613,-2.21544003,-31.9790688,32.1652031,0,0,0,0,7
139611588482039808,1152921779484765696,26.8017349,-158.309052,-1523.19995,9.41221619,0.972360194,-6.02485657,-54.7510986,55.0902748,0,0,0,0,8
211669182519967744,1152921916923717632,-106.236305,-91.7718277,-1323.19995,7.69264364,-2.64120984,-2.22535968,-31.9790688,32.1652031,0,0,0,0,6
18014398543036416,1152921916923718656,-31.5828934,-149.415222,-1323.19995,1.45844042,-0.258391738,-1.44299817,-13.6666336,13.7454376,0,0,0,0,7
139611588482039808,1152921916923719168,23.2257061,-136.304794,-1323.19995,8.74095535,0.985553622,-6.02271271,-54.7510986,55.0902748,0,0,0,0,7
211669182519967744,1152922054362671104,-89.744072,-77.8232803,-1123.19995,7.02163219,-2.63284659,-2.23524833,-31.9790688,32.1652031,0,0,0,0,5
18014398543036416,1152922054362672128,-27.7089462,-128.314987,-1123.19995,0.787465453,-0.271043122,-1.44067538,-13.6666336,13.7454376,0,0,0,0,6
139611588482039808,1152922054362672640,19.6014919,-114.308426,-1123.19995,8.06969452,0.998742342,-6.02053976,-54.7510986,55.0902748,0,0,0,0,6
211669182519967744,1152922191801616384,-77.7049713,-67.5737991,-976.799988,6.53045225,-2.62670112,-2.24246669,-31.9790688,32.1652031,0,0,0,0,4
139611588482039808,1152922191801617408,16.9180336,-98.2121353,-976.799988,7.57833147,1.00839341,-6.01893044,-54.7510986,55.0902748,0,0,0,0,5
135107988854669312,1152922191801624320,-135.743744,-84.5411606,-984.400024,2.77927566,-3.69860315,-2.36011815,-27.8439312,28.1876831,0,0,0,0,6
207165582892597248,1152922191801624832,-98.9181061,-116.361877,-984.400024,-1.37890732,-6.49953794,-7.57592392,-64.964447,65.7269287,0,0,0,0,6
18014398543036416,1152922191801625600,-24.8870945,-113.56543,-983.200012,0.317782998,-0.279886752,-1.43898344,-13.6666336,13.7454376,0,0,0,0,5
