particle_id,particle_type,process,vx,vy,vz,vt,px,py,pz,m,q
4503599644147712,13,0,-108.506599,1197.09241,-1056.60168,7.89751768,-0.894519985,5.87684727,-4.9469471,0.105658367,-1
4503599660924928,13,0,-1072.78406,542.160889,851.278259,7.70322609,-5.04454279,2.14576006,4.13332081,0.105658367,-1
9007199271518208,13,0,-1198.71021,-88.8699188,-393.635132,-1.19085038,-5.732234,-0.786325634,-1.75678825,0.105658367,-1
9007199288295424,13,0,-515.282288,-215.949051,-4002,8.00065041,-3.00663543,-1.44170296,-23.7053719,0.105658367,-1
13510798898888704,13,0,-90.3701782,-1198.59802,-533.488281,3.72022319,0.123938039,-3.14997697,-1.1329881,0.105658367,-1
13510798915665920,-13,0,-966.06488,715.20813,-2850.55249,9.46081352,-3.99797487,3.4082303,-12.0102034,0.105658367,1
18014398526259200,13,0,1131.26221,108.804565,4002,14.5791416,5.05677366,0.828583539,17.9746265,0.105658367,-1
18014398543036416,-13,0,-1165.91357,292.317322,2014.04639,8.52957249,-9.42301464,2.73395896,16.3348026,0.105658367,1
22517998153629696,-13,0,-358.798309,582.33667,-4002,15.1751156,-2.98364234,5.23316002,-35.5591316,0.105658367,1
22517998170406912,-13,0,515.443787,1085.87366,-2672.69287,11.3995476,3.22398663,5.95160341,-15.2481318,0.105658367,1
27021597781000192,13,0,-1151.11292,-346.039276,-1874.73486,12.2830811,-7.14227581,-2.52334714,-12.2907076,0.105658367,-1
27021597797777408,-13,0,961.145264,-721.805908,918.729736,9.54127216,2.63273501,-2.42779613,2.50567937,0.105658367,1
31525197408370688,-13,0,-442.411804,-1117.62061,1891.79504,11.0995855,-0.9831779,-1.50461233,2.78375888,0.105658367,1
31525197425147904,13,0,-956.506775,-727.941528,3014.40771,14.4456949,-0.865425408,-1.11145353,3.47316146,0.105658367,-1
36028797035741184,-13,0,-1161.31982,-310.065094,26.5925121,-0.146729663,-7.29484034,-1.57464838,0.175068974,0.105658367,1
36028797052518400,-13,0,179.516586,504.334442,-4002,9.30372143,1.3807193,3.40057039,-27.4173203,0.105658367,1
40532396663111680,-13,0,1195.56982,-124.164597,-716.627441,-0.624807417,1.15132499,-0.481835753,-0.647850871,0.105658367,1
40532396679888896,-13,0,1144.74353,366.56015,-750.397949,-0.633062661,6.13169956,1.58517039,-3.51094556,0.105658367,1
45035996290482176,13,0,669.91156,-390.549011,-4002,20.8544102,1.63742578,-0.685531557,-9.10270691,0.105658367,-1
45035996307259392,13,0,-468.311249,1107.01782,-3691.97437,20.2077503,-4.10167599,8.77067471,-29.6188469,0.105658367,-1
49539595917852672,13,0,-360.923401,-352.928833,-4002,21.3070755,-5.73592997,-5.82038355,-65.7905807,0.105658367,-1
49539595934629888,-13,0,1068.26453,-551.012695,-227.072357,11.7780123,3.03255582,-1.96961725,-0.869037807,0.105658367,1
54043195545223168,13,0,131.172607,-1194.82117,-2787.14111,5.26582527,1.38225663,-9.28750324,-21.9830704,0.105658367,-1
54043195562000384,-13,0,-746.520081,639.791931,4002,8.71343899,-2.65039659,2.65962267,15.1628065,0.105658367,1
58546795172593664,13,0,-354.588409,1148.50818,-2338.01221,11.11905,-2.31142735,6.26513195,-12.2555923,0.105658367,-1
58546795189370880,13,0,760.241028,931.041138,-2647.58203,12.0385466,4.89604855,6.56569147,-17.1421242,0.105658367,-1
63050394799964160,-13,0,321.437592,304.333313,-4002,10.0228462,2.74546409,2.41673779,-32.7854881,0.105658367,1
63050394816741376,-13,0,-836.648804,-863.031189,-1661.27539,3.45534611,-3.73002458,-3.32987237,-6.76551008,0.105658367,1
67553994427334656,-13,0,-1030.83423,618.21106,1568.1532,8.33337498,-4.59655666,3.17681646,7.04404831,0.105658367,1
67553994444111872,-13,0,-1142.29578,-374.118225,-897.279419,7.0398097,-1.27487874,-0.038352102,-0.99332428,0.105658367,1
72057594054705152,-13,0,-950.375183,735.92865,2804.14795,0.447417766,-4.63401842,4.04411125,14.2823305,0.105658367,1
72057594071482368,13,0,-163.674088,1190.80432,-117.666214,-5.66198254,-1.62183905,9.15304375,-0.997439682,0.105658367,-1
76561193682075648,-13,0,-412.109711,1129.14551,-2382.24292,14.512351,-1.68936098,5.67968988,-11.5988598,0.105658367,1
76561193698852864,-13,0,901.490234,-795.059387,580.148926,10.1883211,6.21907473,-5.96534729,4.35862827,0.105658367,1
81064793309446144,-13,0,-1055.73303,-574.65802,1601.62231,5.26951742,-2.22850966,-0.802758932,3.03453565,0.105658367,1
81064793326223360,13,0,759.851562,827.149475,-4002,12.7722616,1.80220783,2.45954275,-10.9932079,0.105658367,-1
85568392936816640,13,0,-1149.22241,352.266602,3967.87256,16.2559128,-4.56040239,1.02086341,15.3332481,0.105658367,-1
85568392953593856,13,0,-564.530945,1061.18274,-1727.32068,9.56508064,-3.92300844,6.60681868,-11.1666965,0.105658367,-1
90071992564187136,13,0,619.877747,270.737183,4002,14.5335283,1.05603528,0.68253845,7.42820883,0.105658367,-1
90071992580964352,13,0,428.629303,171.8134,-4002,14.3535757,5.24007273,2.24973655,-49.2735405,0.105658367,-1
94575592191557632,-13,0,1059.35559,567.952148,575.338135,-1.3550446,4.56134129,2.03652978,2.62045193,0.105658367,1
94575592208334848,-13,0,-737.631653,949.054016,-2457.31543,3.07129622,-5.0154767,7.04027843,-17.2658405,0.105658367,1
99079191818928128,13,0,-1196.99683,109.55587,2218.83447,2.06465364,-7.541224,0.328365594,13.7201052,0.105658367,-1
99079191835705344,13,0,6.41644764,1201.98291,-3996.76538,7.77422953,-0.343177348,3.22025514,-10.8352652,0.105658367,-1
103582791446298624,-13,0,342.191071,1152.2627,590.135315,-4.40496159,2.29084039,6.44780064,3.70701694,0.105658367,1
103582791463075840,13,0,1019.3808,-636.919739,-573.231628,-4.60854053,8.62000179,-4.96094513,-4.23444939,0.105658367,-1
108086391073669120,-13,0,771.356628,-921.852966,-3992.6167,14.9120827,0.62299031,-1.30608261,-4.84265089,0.105658367,1
108086391090446336,13,0,-1137.02124,389.854767,-1609.52295,7.65357256,-8.10780334,2.39899802,-11.8293457,0.105658367,-1
112589990701039616,13,0,-543.616943,1072.04688,-2286.64453,11.5935621,-1.62327898,2.4044137,-5.54795408,0.105658367,-1
112589990717816832,13,0,1105.76428,-471.26358,3006.83887,13.6643944,5.2379446,-1.84064591,13.7955847,0.105658367,-1
117093590328410112,-13,0,1004.57709,660.021851,-54.2889557,2.35108352,1.07100725,0.272499442,-0.108089179,0.105658367,1
117093590345187328,-13,0,347.700012,-329.586823,-4002,11.8903656,6.50942707,-6.36835432,-77.3115463,0.105658367,1
121597189955780608,13,0,-1008.15143,-654.549194,-825.569153,4.85102177,-5.77390099,-4.17827606,-4.41484404,0.105658367,-1
121597189972557824,13,0,-1074.70862,-538.335754,-1033.30188,5.249084,-8.72966099,-4.77568436,-7.88440943,0.105658367,-1
126100789583151104,-13,0,-1200.79663,53.7716599,-776.11554,-5.39186382,-5.09729719,0.588886797,-3.3163166,0.105658367,1
126100789599928320,13,0,1004.1698,660.641357,-2312.87134,-1.47002983,4.26776791,3.23898792,-10.3075686,0.105658367,-1
130604389210521600,13,0,-633.846252,-1.75878239,-4002,13.7446537,-2.60621548,-0.197255984,-16.0635891,0.105658367,-1
130604389227298816,13,0,713.50531,967.323181,-2376.49268,9.14702702,3.75530005,5.69812822,-12.9013996,0.105658367,-1
135107988837892096,-13,0,660.239319,1004.4342,-382.921265,1.67813015,2.33737397,2.89983034,-1.00022244,0.105658367,1
135107988854669312,-13,0,-747.429993,358.07309,-4002,10.9588356,-1.62688303,1.05483973,-9.19789314,0.105658367,1
139611588465262592,-13,0,263.503235,-591.420959,-4002,8.3714056,3.19645858,-7.65121841,-51.6787567,0.105658367,1
139611588482039808,13,0,-1078.42358,-530.854492,305.345917,-1.14541256,-3.71456575,-2.23009133,0.978718579,0.105658367,-1
144115188092633088,-13,0,463.266724,836.580688,4002,19.4924927,2.68891406,4.26416874,21.2736874,0.105658367,1
144115188109410304,-13,0,1175.51807,-250.920822,-656.169556,10.1661129,5.41730881,-1.52477562,-2.90308857,0.105658367,1
148618787720003584,13,0,1177.52063,241.348694,49.6730881,0.665665567,2.12661028,0.803697407,-0.0081230849,0.105658367,-1
148618787736780800,13,0,-1004.25549,602.023376,-4002,10.7172966,-6.1134901,3.2554822,-23.9824505,0.105658367,-1
153122387347374080,-13,0,1134.70435,396.547607,2139.26196,8.70408821,3.36814809,0.795349777,5.88216829,0.105658367,1
153122387364151296,13,0,1132.01172,404.170197,930.467957,5.670506,9.06522751,3.61925626,6.80292702,0.105658367,-1
157625986974744576,13,0,1199.49402,77.5765915,1700.18567,2.58080459,5.33864164,0.70636183,7.39593601,0.105658367,-1
157625986991521792,13,0,-612.82959,204.218155,-4002,9.44605923,-1.41508961,0.267444044,-9.00239182,0.105658367,-1
162129586602115072,13,0,-1015.15967,-643.626343,1575.31665,14.4111032,-3.18308115,-2.44485474,5.09959745,0.105658367,-1
162129586618892288,-13,0,639.353088,-559.074158,-4002,21.7156677,4.55559015,-4.32190466,-29.9209251,0.105658367,1
166633186229485568,-13,0,-843.525513,-856.311096,632.043213,9.95944118,-3.80414724,-3.34829164,2.43247056,0.105658367,1
166633186246262784,13,0,931.765259,-362.876526,-4002,19.4446926,4.22669077,-1.32444561,-17.9557285,0.105658367,-1
171136785856856064,13,0,461.543488,324.752655,-4002,7.27856159,3.45726442,2.63968897,-31.1478195,0.105658367,-1
171136785873633280,-13,0,-1153.18457,339.071259,-1502.55078,0.189775899,-5.81801367,2.08633828,-7.92801857,0.105658367,1
175640385484226560,13,0,-836.80365,-862.881042,3503.11597,13.5130396,-6.02364016,-6.72901917,26.3187103,0.105658367,-1
175640385501003776,-13,0,605.569275,-1038.31104,-1315.84644,7.10037708,4.54669189,-8.51129436,-10.5553675,0.105658367,1
180143985111597056,13,0,316.695038,1004.61206,4002,3.18936062,1.81424451,6.80520344,27.1254482,0.105658367,-1
180143985128374272,13,0,70.1890106,-1199.94897,-606.657898,-6.37582111,0.536126196,-2.99424314,-1.38960886,0.105658367,-1
184647584738967552,13,0,-322.180786,1158.01709,-3608.23242,14.0185337,-2.32299376,7.00502586,-21.5536079,0.105658367,-1
184647584755744768,13,0,-1131.31506,-406.115997,-2537.00903,10.7124357,-5.890975,-2.49747467,-12.9852219,0.105658367,-1
189151184366338048,-13,0,-1176.48474,246.348633,3387.31641,9.48364544,-4.89438105,1.3930366,14.475565,0.105658367,1
189151184383115264,13,0,1163.0719,-303.426849,1752.17163,4.5690341,5.91550922,-1.17082238,8.95935631,0.105658367,-1
193654783993708544,-13,0,-923.881958,-768.925293,-3926.78589,16.8281994,-1.4445411,-0.733400583,-5.23696375,0.105658367,1
193654784010485760,-13,0,110.068184,1196.94983,-3829.7583,16.5123482,0.576362073,2.33287811,-7.61074591,0.105658367,1
198158383621079040,-13,0,-87.492775,-1198.81152,-3092.50513,12.974577,-0.975612164,-8.41756821,-21.7862053,0.105658367,1
198158383637856256,13,0,350.954163,1149.6239,3584.59253,14.5276518,0.912409604,4.2228837,12.8736067,0.105658367,-1
202661983248449536,-13,0,907.324768,-788.39447,-712.801575,13.382967,5.85167837,-5.5621891,-4.86225891,0.105658367,1
202661983265226752,-13,0,924.525757,-768.151123,924.302979,13.739995,3.14580345,-3.08230472,3.34134889,0.105658367,1
207165582875820032,-13,0,-638.834473,-251.315414,-4002,9.59772301,-1.07690573,-0.202494293,-6.40695333,0.105658367,1
207165582892597248,13,0,254.443878,-1174.7605,-1471.21924,2.36250377,2.20930934,-8.49847221,-11.0070486,0.105658367,-1
211669182503190528,-13,0,-579.179749,102.422997,-4002,27.5204544,-8.89249229,1.75172961,-60.8331642,0.105658367,1
211669182519967744,-13,0,1185.65161,197.570801,-1153.76172,19.683815,1.37418365,-0.136319533,-1.24893403,0.105658367,1
216172782130561024,-13,0,1025.64319,626.785522,3189.8999,17.040926,3.94594336,1.98901021,11.4136124,0.105658367,1
216172782147338240,13,0,495.858582,213.501404,4002,19.1230087,4.56335354,2.14082551,36.5949593,0.105658367,-1
220676381757931520,13,0,-501.86557,483.824158,-4002,12.3605299,-4.48089314,4.02946424,-33.5617332,0.105658367,-1
220676381774708736,13,0,-397.0961,576.780396,-4002,12.3623638,-4.00742149,5.4504714,-37.5090446,0.105658367,-1
225179981385302016,13,0,-1123.17432,-428.116272,3159.39575,17.9111595,-6.0464468,-2.69029284,17.0070992,0.105658367,-1
225179981402079232,-13,0,559.678833,1063.74976,848.285706,11.6621599,1.0680033,1.25599706,1.06036699,0.105658367,1
