measurement_id,geometry_id,x,y,z,var_r,var_z
18,1152922191801616896,-39.245369,-103.339035,-976.799988,0.000899999985,8.43614858e-37
19,1152922191801619456,23.7185135,97.1300201,-976.799988,0.000899999985,8.43614858e-37
20,1152922191801619968,-26.3780518,102.9748,-976.799988,0.000899999985,8.43614858e-37
21,1152922191801621248,-26.5247917,103.639862,-983.200012,0.000899999985,8.43614858e-37
22,1152922191801621504,-26.5638599,103.792046,-984.400024,0.000899999985,8.43614858e-37
23,1152922191801623808,133.257111,42.3594818,-983.200012,0.000899999985,8.43614858e-37
24,1152922191801624064,-151.706543,-47.7611122,-983.200012,0.000899999985,8.43614858e-37
25,1152922191801625344,-39.5770378,-104.105682,-984.400024,0.000899999985,8.43614858e-37
26,1152922191801625344,-45.1858292,-165.087357,-984.400024,0.000899999985,8.43614858e-37
27,1152922191801625600,-45.1335487,-164.903671,-983.200012,0.000899999985,8.43614858e-37
28,1152922191801625600,-19.5813046,-119.325554,-983.200012,0.000899999985,8.43614858e-37
29,1152922191801626112,31.3452721,-169.744705,-983.200012,0.000899999985,8.43614858e-37
30,1152922191801627136,84.8619843,-102.357193,-984.400024,0.000899999985,8.43614858e-37
31,1152922191801628416,96.3397446,95.7006226,-983.200012,0.000899999985,8.43614858e-37
32,1152922191801628672,96.4300385,95.8460236,-984.400024,0.000899999985,8.43614858e-37
33,1152922329240570368,-33.7152977,-89.6141815,-836.799988,0.000899999985,8.43614858e-37
34,1152922329240570368,-16.0147247,-99.8976364,-836.799988,0.000899999985,8.43614858e-37
35,1152922329240572928,19.9094734,80.8927841,-836.799988,0.000899999985,8.43614858e-37
36,1152922329240573440,-22.5295029,88.3674469,-836.799988,0.000899999985,8.43614858e-37
37,1152922329240577280,112.657967,36.1207504,-843.200012,0.000899999985,8.43614858e-37
38,1152922329240577536,-127.481331,-40.2360001,-843.200012,0.000899999985,8.43614858e-37
39,1152922329240578816,-39.2891693,-143.063721,-844.400024,0.000899999985,8.43614858e-37
40,1152922329240579072,-39.2365265,-142.887711,-843.200012,0.000899999985,8.43614858e-37
41,1152922329240579328,-7.35439062,-171.618195,-844.400024,0.000899999985,8.43614858e-37
42,1152922329240579584,27.3885174,-145.102402,-843.200012,0.000899999985,8.43614858e-37
43,1152922329240580608,73.1799774,-88.1813126,-844.400024,0.000899999985,8.43614858e-37
44,1152922329240581888,83.0700302,81.8288422,-843.200012,0.000899999985,8.43614858e-37
45,1152922329240582144,83.1914978,81.9382553,-844.400024,0.000899999985,8.43614858e-37
46,1152922466679521792,94.0758514,30.3834152,-716.799988,0.000899999985,8.43614858e-37
47,1152922466679523840,-29.0510941,-77.7913284,-716.799988,0.000899999985,8.43614858e-37
48,1152922466679523840,-13.2013235,-83.9879913,-716.799988,0.000899999985,8.43614858e-37
49,1152922466679525120,62.5649071,-75.2642059,-716.799988,0.000899999985,8.43614858e-37
50,1152922466679525888,70.9894409,69.4221649,-716.799988,0.000899999985,8.43614858e-37
51,1152922466679526400,16.5443764,66.9514465,-716.799988,0.000899999985,8.43614858e-37
52,1152922466679526912,-19.3194218,75.8211975,-716.799988,0.000899999985,8.43614858e-37
53,1152922466679531008,-106.696793,-33.7794991,-723.200012,0.000899999985,8.43614858e-37
54,1152922466679532288,-34.2290459,-124.209343,-724.400024,0.000899999985,8.43614858e-37
55,1152922466679532544,-34.1528816,-124.045341,-723.200012,0.000899999985,8.43614858e-37
56,1152922466679532800,-5.75059462,-145.525345,-724.400024,0.000899999985,8.43614858e-37
57,1152922466679533056,23.8405361,-123.997536,-723.200012,0.000899999985,8.43614858e-37
58,1152922466679533312,65.0608597,-136.686646,-724.400024,0.000899999985,8.43614858e-37
59,1152922466679533824,64.9238052,-136.45578,-723.200012,0.000899999985,8.43614858e-37
60,1152922466679534592,138.562653,-68.5408478,-724.400024,0.000899999985,8.43614858e-37
61,1152922604118475264,79.4421692,25.7777863,-616.799988,0.000899999985,8.43614858e-37
62,1152922604118476288,-88.3045349,-28.0513344,-616.799988,0.000899999985,8.43614858e-37
63,1152922604118477312,-25.2058372,-67.9123306,-616.799988,0.000899999985,8.43614858e-37
64,1152922604118477312,-10.9332733,-70.7235718,-616.799988,0.000899999985,8.43614858e-37
65,1152922604118477568,-10.8968563,-70.5418549,-615.599976,0.000899999985,8.43614858e-37
66,1152922604118477824,20.5704746,-105.355347,-616.799988,0.000899999985,8.43614858e-37
67,1152922604118478592,54.2371178,-65.1184235,-616.799988,0.000899999985,8.43614858e-37
68,1152922604118479360,61.4084625,59.6736069,-616.799988,0.000899999985,8.43614858e-37
69,1152922604118479872,13.7971821,55.4234009,-616.799988,0.000899999985,8.43614858e-37
70,1152922604118480384,-16.564394,65.3764725,-616.799988,0.000899999985,8.43614858e-37
71,1152922604118481152,156.248108,-7.05819321,-623.200012,0.000899999985,8.43614858e-37
72,1152922604118485760,-29.9869366,-108.548973,-624.400024,0.000899999985,8.43614858e-37
73,1152922604118486016,-29.9322643,-108.335533,-623.200012,0.000899999985,8.43614858e-37
74,1152922604118486272,-4.60130167,-123.796951,-624.400024,0.000899999985,8.43614858e-37
75,1152922604118486528,20.7347946,-106.43766,-623.200012,0.000899999985,8.43614858e-37
76,1152922604118486784,56.0127144,-117.531799,-624.400024,0.000899999985,8.43614858e-37
77,1152922604118487040,133.200058,91.9664536,-624.400024,0.000899999985,8.43614858e-37
78,1152922604118487296,55.919796,-117.241516,-623.200012,0.000899999985,8.43614858e-37
79,1152922604118488064,120.589294,-59.8916054,-624.400024,0.000899999985,8.43614858e-37
80,1152922604118488832,132.93956,91.7846756,-623.200012,0.000899999985,8.43614858e-37
81,1152922604118488832,122.143097,93.210495,-623.200012,0.000899999985,8.43614858e-37
82,1224979236083729408,32.3590851,-1.42746782,299.85965,2.40147438e-05,0.000224999996
83,1224979236083730688,32.3353653,-1.23075902,-159.085312,2.2293556e-05,0.000224999996
84,1224979236083730944,32.4621086,-2.28186107,-69.9937363,3.21602383e-05,0.000224999996
85,1224979236083731200,31.8602753,2.70930934,-40.991909,1.1125793e-06,0.000224999996
86,1224979236083731712,31.6164436,4.73147011,139.753815,7.33381057e-07,0.000224999996
87,1224979236083734016,30.9188385,10.2176704,-285.689636,3.32897398e-05,0.000224999996
88,1224979236083734272,26.5839405,17.9185753,-143.244293,5.80365713e-06,0.000224999996
89,1224979236083734272,28.3559513,14.7706156,-148.931747,9.48631111e-07,0.000224999996
90,1224979236083735040,26.5154018,18.0403328,50.728199,6.44608053e-06,0.000224999996
91,1224979236083735040,29.9994488,11.850956,42.1551437,1.66594655e-05,0.000224999996
92,1224979236083735296,33.8172836,5.06861401,145.134048,0.00011402661,0.000224999996
93,1224979236083735296,26.0879154,18.7997589,146.568008,1.11904246e-05,0.000224999996
94,1224979236083738112,-29.3881035,-17.557642,-129.876389,0.000115791867,0.000224999996
95,1224979236083738368,-26.483223,-19.837368,-62.3773804,6.06054491e-05,0.000224999996
96,1224979236083738368,-25.3442211,-20.7312469,-9.22577,4.27794839e-05,0.000224999996
97,1224979236083738624,-16.526392,-27.6513996,39.8976784,1.43691495e-05,0.000224999996
98,1224979236083738880,-28.3310966,-18.3871727,103.234985,9.43485065e-05,0.000224999996
99,1224979236083739904,-5.51665592,-31.6388168,271.08432,8.98274629e-06,0.000224999996
100,1224979236083740928,-4.67318439,-31.8747082,-324.807587,1.44665382e-05,0.000224999996
101,1224979236083741184,-10.9158916,-30.1288338,-235.102127,5.03922911e-06,0.000224999996
102,1224979236083741440,-12.7916803,-29.6042404,-203.709763,1.6341779e-05,0.000224999996
103,1224979236083741696,-8.61113834,-30.7733955,-128.771774,1.93198513e-11,0.000224999996
